,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,42276000.0,42603000.0,39272000.0,39866000.0
Effect Of Accounting Charges,,,,
Income Before Tax,247587000.0,230384000.0,185414000.0,269180000.0
Minority Interest,,,,
Net Income,203688000.0,184763000.0,149663000.0,216295000.0
Selling General Administrative,238229000.0,236538000.0,219215000.0,223208000.0
Gross Profit,555820000.0,536904000.0,471696000.0,559044000.0
Ebit,259276000.0,241545000.0,199325000.0,281313000.0
Operating Income,259276000.0,241545000.0,199325000.0,281313000.0
Other Operating Expenses,,,,
Interest Expense,-11791000.0,-10439000.0,-9471000.0,-9505000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,43899000.0,45621000.0,35751000.0,52885000.0
Total Revenue,951950000.0,924351000.0,804390000.0,937985000.0
Total Operating Expenses,692674000.0,682806000.0,605065000.0,656672000.0
Cost Of Revenue,396130000.0,387447000.0,332694000.0,378941000.0
Total Other Income Expense Net,-11689000.0,-11161000.0,-13911000.0,-12133000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,203688000.0,184763000.0,149663000.0,216295000.0
Net Income Applicable To Common Shares,203688000.0,184763000.0,149663000.0,216295000.0
