,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,46770000.0,41349000.0,39527000.0,34757000.0
Effect Of Accounting Charges,,,,
Income Before Tax,-110430000.0,-39820000.0,-40796000.0,-33844000.0
Minority Interest,,,,
Net Income,-107335000.0,-35510000.0,-39963000.0,-34021000.0
Selling General Administrative,114546000.0,104922000.0,97698000.0,86845000.0
Gross Profit,134822000.0,117399000.0,105971000.0,96861000.0
Ebit,-26494000.0,-28872000.0,-31254000.0,-24741000.0
Operating Income,-26494000.0,-28872000.0,-31254000.0,-24741000.0
Other Operating Expenses,,,,
Interest Expense,-12448000.0,-10444000.0,-10234000.0,-10062000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-3095000.0,-4310000.0,-833000.0,177000.0
Total Revenue,172347000.0,152428000.0,138055000.0,125926000.0
Total Operating Expenses,198841000.0,181300000.0,169309000.0,150667000.0
Cost Of Revenue,37525000.0,35029000.0,32084000.0,29065000.0
Total Other Income Expense Net,-83936000.0,-10948000.0,-9542000.0,-9103000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-107335000.0,-35510000.0,-39963000.0,-34021000.0
Net Income Applicable To Common Shares,-107335000.0,-35510000.0,-39963000.0,-34021000.0
