,2021-10-01,2021-07-02,2021-04-02,2021-01-01
Research Development,66000000.0,68000000.0,68000000.0,71000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,433000000.0,252000000.0,289000000.0,253000000.0
Minority Interest,,,,
Net Income,333000000.0,181000000.0,194000000.0,178000000.0
Selling General Administrative,213000000.0,201000000.0,200000000.0,182000000.0
Gross Profit,592000000.0,584000000.0,573000000.0,552000000.0
Ebit,292000000.0,294000000.0,285000000.0,281000000.0
Operating Income,292000000.0,294000000.0,285000000.0,281000000.0
Other Operating Expenses,,,,
Interest Expense,-31000000.0,-32000000.0,-35000000.0,-32000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,100000000.0,71000000.0,81000000.0,80000000.0
Total Revenue,692000000.0,686000000.0,672000000.0,639000000.0
Total Operating Expenses,400000000.0,392000000.0,387000000.0,358000000.0
Cost Of Revenue,100000000.0,102000000.0,99000000.0,87000000.0
Total Other Income Expense Net,141000000.0,-42000000.0,4000000.0,-28000000.0
Discontinued Operations,,,-14000000.0,5000000.0
Net Income From Continuing Ops,333000000.0,181000000.0,208000000.0,173000000.0
Net Income Applicable To Common Shares,333000000.0,181000000.0,194000000.0,178000000.0
