,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,2349000000.0,2393000000.0,2460000000.0,2388000000.0
Capital Surplus,147000000.0,201000000.0,202000000.0,205000000.0
Total Liab,24695000000.0,26102000000.0,25554000000.0,24827000000.0
Total Stockholder Equity,23578000000.0,23218000000.0,22297000000.0,22365000000.0
Minority Interest,43000000.0,36000000.0,42000000.0,
Other Current Liab,6930000000.0,9367000000.0,8742000000.0,2305000000.0
Total Assets,48316000000.0,49356000000.0,47893000000.0,47192000000.0
Common Stock,15818000000.0,15746000000.0,15722000000.0,15673000000.0
Retained Earnings,7735000000.0,7315000000.0,6471000000.0,6606000000.0
Other Liab,5193000000.0,5288000000.0,5370000000.0,5409000000.0
Good Will,12220000000.0,12211000000.0,12199000000.0,12198000000.0
Treasury Stock,-122000000.0,-44000000.0,-98000000.0,-119000000.0
Other Assets,679000000.0,664000000.0,678000000.0,914000000.0
Cash,443000000.0,1794000000.0,712000000.0,1454000000.0
Total Current Liabilities,8512000000.0,9885000000.0,9268000000.0,8480000000.0
Deferred Long Term Asset Charges,233000000.0,221000000.0,249000000.0,242000000.0
Short Long Term Debt,46000000.0,32000000.0,14000000.0,14000000.0
Other Stockholder Equity,-122000000.0,-44000000.0,-98000000.0,-119000000.0
Property Plant Equipment,19704000000.0,19592000000.0,19451000000.0,19660000000.0
Total Current Assets,12682000000.0,13877000000.0,12475000000.0,11470000000.0
Long Term Investments,682000000.0,619000000.0,630000000.0,562000000.0
Net Tangible Assets,9009000000.0,8614000000.0,7638000000.0,7779000000.0
Net Receivables,6911000000.0,6683000000.0,4230000000.0,3581000000.0
Long Term Debt,10094000000.0,10029000000.0,10040000000.0,10047000000.0
Inventory,4674000000.0,4876000000.0,6714000000.0,4930000000.0
Deferred Long Term Liab,,,,89000000.0
Accounts Payable,,,,4415000000.0
