,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,518100000.0,486500000.0,495900000.0,373400000.0
Minority Interest,,,,
Net Income,395700000.0,368100000.0,375100000.0,240900000.0
Selling General Administrative,1074700000.0,1062200000.0,1053700000.0,1035500000.0
Gross Profit,1646800000.0,1607300000.0,1613400000.0,1524400000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,518100000.0,486500000.0,495900000.0,425900000.0
Other Operating Expenses,54000000.0,58600000.0,63800000.0,63000000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,122400000.0,118400000.0,120800000.0,132500000.0
Total Revenue,1646800000.0,1607300000.0,1613400000.0,1524400000.0
Total Operating Expenses,1128700000.0,1120800000.0,1117500000.0,1098500000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,0.0,0.0,0.0,-52500000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,395700000.0,368100000.0,375100000.0,240900000.0
Net Income Applicable To Common Shares,376500000.0,360200000.0,355200000.0,234700000.0
