,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,6723000000.0,6694000000.0,6666000000.0,1048000000.0
Total Liab,736391000000.0,731973000000.0,727127000000.0,755667000000.0
Total Stockholder Equity,41382000000.0,43875000000.0,42684000000.0,43860000000.0
Minority Interest,11000000.0,10000000.0,-35000000.0,-36000000.0
Other Current Liab,81775000000.0,85872000000.0,81447000000.0,53572000000.0
Total Assets,778278000000.0,775858000000.0,769776000000.0,799491000000.0
Common Stock,12468000000.0,11776000000.0,12919000000.0,12129000000.0
Retained Earnings,12835000000.0,12632000000.0,11993000000.0,12567000000.0
Other Liab,5830000000.0,4035000000.0,5926000000.0,30261000000.0
Treasury Stock,16079000000.0,18306000000.0,17772000000.0,18053000000.0
Other Assets,380326000000.0,355551000000.0,374688000000.0,341330000000.0
Cash,174102000000.0,159305000000.0,147586000000.0,131526000000.0
Total Current Liabilities,674029000000.0,671472000000.0,669380000000.0,681236000000.0
Other Stockholder Equity,16079000000.0,18697000000.0,17772000000.0,18077000000.0
Total Current Assets,344229000000.0,362144000000.0,336099000000.0,391664000000.0
Long Term Investments,47000000000.0,51469000000.0,52323000000.0,55424000000.0
Net Tangible Assets,34659000000.0,37181000000.0,36018000000.0,37205000000.0
Long Term Debt,56532000000.0,54814000000.0,51821000000.0,42657000000.0
Accounts Payable,493694000000.0,460596000000.0,471918000000.0,441504000000.0
Capital Surplus,,1161000000.0,,1111000000.0
Other Current Assets,,12955000000.0,,8161000000.0
Short Term Investments,,47806000000.0,,44568000000.0
Good Will,,,,5607000000.0
Deferred Long Term Asset Charges,,,,901000000.0
Short Long Term Debt,,,,5066000000.0
Property Plant Equipment,,,,4418000000.0
Net Receivables,,,,192000000.0
