,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,382951000.0,364388000.0,269308000.0,253323000.0
Minority Interest,,,,
Net Income,286634000.0,269576000.0,199359000.0,189832000.0
Selling General Administrative,52986000.0,49410000.0,44090000.0,33190000.0
Gross Profit,543077000.0,517997000.0,413790000.0,388259000.0
Ebit,383410000.0,366044000.0,269657000.0,254302000.0
Operating Income,383410000.0,366044000.0,269657000.0,254302000.0
Other Operating Expenses,41521000.0,38596000.0,36056000.0,35661000.0
Interest Expense,-371000.0,-465000.0,-507000.0,-846000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,96317000.0,94812000.0,69949000.0,63491000.0
Total Revenue,1400046000.0,1319409000.0,1126515000.0,1073389000.0
Total Operating Expenses,1016636000.0,953365000.0,856858000.0,819087000.0
Cost Of Revenue,856969000.0,801412000.0,712725000.0,685130000.0
Total Other Income Expense Net,-459000.0,-1656000.0,-349000.0,-979000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,286634000.0,269576000.0,199359000.0,189832000.0
Net Income Applicable To Common Shares,286634000.0,269576000.0,199359000.0,189832000.0
