,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,765902000.0,768509000.0,771116000.0,246131000.0
Capital Surplus,7235255000.0,7247334000.0,7305274000.0,7353396000.0
Total Liab,18031456000.0,17526862000.0,17082964000.0,17036356000.0
Total Stockholder Equity,5840875000.0,5910386000.0,6096965000.0,6042398000.0
Other Current Liab,577631000.0,455464000.0,420737000.0,356679000.0
Total Assets,23872331000.0,23437248000.0,23179929000.0,23078754000.0
Common Stock,4749000.0,4749000.0,4749000.0,4749000.0
Other Current Assets,169065000.0,169680000.0,171781000.0,144495000.0
Other Liab,1455112000.0,1357812000.0,1278914000.0,1150228000.0
Treasury Stock,-1399129000.0,-1341697000.0,-1213058000.0,-1315747000.0
Other Assets,420388000.0,451246000.0,478247000.0,375142000.0
Cash,224337000.0,374377000.0,402413000.0,524496000.0
Total Current Liabilities,2802870000.0,2394601000.0,2047954000.0,1344547000.0
Short Long Term Debt,627188000.0,627337000.0,543757000.0,7650000.0
Other Stockholder Equity,-661836000.0,-601443000.0,-465596000.0,-551449000.0
Property Plant Equipment,19221947000.0,19181519000.0,19125251000.0,19255082000.0
Total Current Assets,2666861000.0,2235623000.0,1997594000.0,1869775000.0
Long Term Investments,797233000.0,800351000.0,807721000.0,805032000.0
Net Tangible Assets,5074973000.0,5141877000.0,5325849000.0,5268675000.0
Net Receivables,1497549000.0,1091982000.0,909972000.0,829796000.0
Long Term Debt,13694977000.0,13692742000.0,13670801000.0,14431828000.0
Inventory,775910000.0,599584000.0,513187000.0,370988000.0
Accounts Payable,1442984000.0,1052561000.0,929771000.0,719302000.0
Good Will,,,,527592000.0
