,2021-10-01,2021-07-02,2021-04-02,2020-12-31
Investments,-41000000.0,-41000000.0,-41000000.0,-41000000.0
Change To Liabilities,-6400000.0,23100000.0,8900000.0,30800000.0
Total Cashflows From Investing Activities,-149500000.0,-100800000.0,-77200000.0,-211700000.0
Net Borrowings,-4100000.0,-273300000.0,-154100000.0,-759300000.0
Total Cash From Financing Activities,-1100000.0,-338600000.0,-178100000.0,-762200000.0
Change To Operating Activities,-16700000.0,39100000.0,7300000.0,-14600000.0
Issuance Of Stock,6200000.0,5700000.0,6600000.0,5800000.0
Net Income,309700000.0,184100000.0,89900000.0,89000000.0
Change In Cash,298100000.0,48600000.0,-37600000.0,-573300000.0
Repurchase Of Stock,-2200000.0,-3500000.0,-28500000.0,-2900000.0
Effect Of Exchange Rate,-200000.0,-200000.0,-800000.0,200000.0
Total Cash From Operating Activities,448900000.0,488000000.0,218500000.0,400400000.0
Depreciation,149900000.0,153100000.0,153400000.0,153800000.0
Change To Inventory,-18000000.0,-11500000.0,-42000000.0,25800000.0
Change To Account Receivables,-42400000.0,14200000.0,-9900000.0,52900000.0
Other Cashflows From Financing Activities,-1000000.0,-67500000.0,-2100000.0,-5800000.0
Change To Netincome,69900000.0,83200000.0,8500000.0,59700000.0
Capital Expenditures,-111900000.0,-107200000.0,-77400000.0,-216400000.0
Other Cashflows From Investing Activities,,,,-100000.0
