,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Research Development,39000000.0,35000000.0,40000000.0,37000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,532000000.0,475000000.0,397000000.0,413000000.0
Minority Interest,602000000.0,624000000.0,631000000.0,641000000.0
Net Income,326000000.0,308000000.0,251000000.0,266000000.0
Selling General Administrative,485000000.0,464000000.0,481000000.0,453000000.0
Gross Profit,1085000000.0,1023000000.0,993000000.0,988000000.0
Ebit,570000000.0,532000000.0,475000000.0,511000000.0
Operating Income,570000000.0,532000000.0,475000000.0,511000000.0
Other Operating Expenses,-9000000.0,-8000000.0,-3000000.0,-13000000.0
Interest Expense,-27000000.0,-32000000.0,-37000000.0,-39000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,153000000.0,123000000.0,118000000.0,103000000.0
Total Revenue,3701000000.0,3408000000.0,3493000000.0,3268000000.0
Total Operating Expenses,3131000000.0,2876000000.0,3018000000.0,2757000000.0
Cost Of Revenue,2616000000.0,2385000000.0,2500000000.0,2280000000.0
Total Other Income Expense Net,-38000000.0,-57000000.0,-78000000.0,-98000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,379000000.0,352000000.0,279000000.0,310000000.0
Net Income Applicable To Common Shares,326000000.0,308000000.0,251000000.0,266000000.0
