,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,143000000.0,315000000.0,-1425000000.0,-4058000000.0
Minority Interest,,,,
Net Income,103000000.0,-146000000.0,-1112000000.0,-3575000000.0
Selling General Administrative,177000000.0,166000000.0,209000000.0,166000000.0
Gross Profit,3719000000.0,3036000000.0,2200000000.0,2158000000.0
Ebit,572000000.0,45000000.0,-352000000.0,-384000000.0
Operating Income,572000000.0,45000000.0,-352000000.0,-384000000.0
Other Operating Expenses,492000000.0,468000000.0,469000000.0,411000000.0
Interest Expense,-608000000.0,4000000.0,-260000000.0,-265000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,43000000.0,16000000.0,-276000000.0,-403000000.0
Total Revenue,5958000000.0,5293000000.0,4160000000.0,4108000000.0
Total Operating Expenses,5386000000.0,5248000000.0,4512000000.0,4492000000.0
Cost Of Revenue,2239000000.0,2257000000.0,1960000000.0,1950000000.0
Total Other Income Expense Net,-429000000.0,270000000.0,-1073000000.0,-3674000000.0
Discontinued Operations,3000000.0,-445000000.0,37000000.0,80000000.0
Net Income From Continuing Ops,100000000.0,299000000.0,-1149000000.0,-3655000000.0
Net Income Applicable To Common Shares,-97000000.0,-346000000.0,-1312000000.0,-3778000000.0
