,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,31077000.0,28224000.0,24711000.0,25073000.0
Effect Of Accounting Charges,,,,
Income Before Tax,43549000.0,47236000.0,95175000.0,36601000.0
Minority Interest,,,,
Net Income,30379000.0,52278000.0,64616000.0,24367000.0
Selling General Administrative,129725000.0,122042000.0,108952000.0,119201000.0
Gross Profit,221428000.0,213373000.0,243125000.0,194820000.0
Ebit,43305000.0,47090000.0,94546000.0,36247000.0
Operating Income,43305000.0,47090000.0,94546000.0,36247000.0
Other Operating Expenses,,,,
Interest Expense,158000.0,49000.0,656000.0,656000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,13170000.0,-5042000.0,30559000.0,12234000.0
Total Revenue,256194000.0,242146000.0,272198000.0,220947000.0
Total Operating Expenses,212889000.0,195056000.0,177652000.0,184700000.0
Cost Of Revenue,34766000.0,28773000.0,29073000.0,26127000.0
Total Other Income Expense Net,244000.0,146000.0,629000.0,354000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,30379000.0,52278000.0,64616000.0,24367000.0
Net Income Applicable To Common Shares,30379000.0,52278000.0,64616000.0,24367000.0
