,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,34000000.0,364000000.0,22000000.0,168000000.0
Minority Interest,252000000.0,252000000.0,252000000.0,252000000.0
Net Income,-1091000000.0,397000000.0,120000000.0,200000000.0
Selling General Administrative,-125000000.0,-127000000.0,-126000000.0,228000000.0
Gross Profit,1361000000.0,1598000000.0,1483000000.0,1455000000.0
Ebit,685000000.0,874000000.0,721000000.0,333000000.0
Operating Income,685000000.0,874000000.0,721000000.0,333000000.0
Other Operating Expenses,,,,
Interest Expense,-402000000.0,-402000000.0,-411000000.0,-420000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1125000000.0,-33000000.0,-98000000.0,-32000000.0
Total Revenue,5465000000.0,5215000000.0,4716000000.0,4748000000.0
Total Operating Expenses,4780000000.0,4341000000.0,3995000000.0,4415000000.0
Cost Of Revenue,4104000000.0,3617000000.0,3233000000.0,3293000000.0
Total Other Income Expense Net,-651000000.0,-510000000.0,-699000000.0,-165000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-1091000000.0,397000000.0,120000000.0,200000000.0
Net Income Applicable To Common Shares,-1091000000.0,397000000.0,120000000.0,200000000.0
