,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,25182000.0,285451000.0,4901000.0,4901000.0
Change To Liabilities,24401000.0,18604000.0,-74524000.0,0.0
Total Cashflows From Investing Activities,-508621000.0,944570000.0,767726000.0,767726000.0
Net Borrowings,502018000.0,-854466000.0,-583194000.0,-583194000.0
Total Cash From Financing Activities,321383000.0,-1085153000.0,-924119000.0,-924119000.0
Issuance Of Stock,3543000.0,83000.0,1087000.0,1087000.0
Net Income,54711000.0,276280000.0,145788000.0,146394000.0
Change In Cash,24503000.0,96285000.0,-33667000.0,-33667000.0
Repurchase Of Stock,-73000.0,-315000.0,-12165000.0,-12165000.0
Total Cash From Operating Activities,211741000.0,236868000.0,122726000.0,122726000.0
Depreciation,177175000.0,171459000.0,157538000.0,157538000.0
Dividends Paid,-161995000.0,-161971000.0,-164118000.0,-164118000.0
Change To Account Receivables,-5352000.0,21361000.0,11567000.0,11567000.0
Other Cashflows From Financing Activities,-22110000.0,-68484000.0,-165729000.0,-165729000.0
Change To Netincome,-41537000.0,-252957000.0,-119856000.0,-119856000.0
