,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,13550000.0,13842000.0,13310000.0,6657000.0
Capital Surplus,4891043000.0,4790079000.0,4684227000.0,4574934000.0
Total Liab,454423000.0,381719000.0,363469000.0,367088000.0
Total Stockholder Equity,2698367000.0,2503927000.0,2328823000.0,2242371000.0
Total Assets,3152790000.0,2885646000.0,2692292000.0,2609459000.0
Common Stock,7000.0,6000.0,6000.0,6000.0
Other Current Assets,2813000.0,299000.0,571000.0,571000.0
Retained Earnings,-2193310000.0,-2287306000.0,-2356723000.0,-2335049000.0
Other Liab,24081000.0,22638000.0,24910000.0,22936000.0
Treasury Stock,627000.0,1148000.0,1313000.0,2480000.0
Other Assets,10618000.0,12159000.0,12320000.0,13065000.0
Cash,1231931000.0,1012928000.0,913740000.0,669230000.0
Total Current Liabilities,240994000.0,237449000.0,209000000.0,204831000.0
Other Stockholder Equity,627000.0,1148000.0,1313000.0,2480000.0
Property Plant Equipment,257500000.0,195934000.0,209487000.0,225291000.0
Total Current Assets,2871122000.0,2663711000.0,2457175000.0,2357541000.0
Net Tangible Assets,2684817000.0,2490085000.0,2315513000.0,2228809000.0
Short Term Investments,1075465000.0,1130398000.0,1119962000.0,1091076000.0
Net Receivables,505021000.0,468181000.0,389206000.0,563733000.0
Accounts Payable,57612000.0,48038000.0,48585000.0,49491000.0
Good Will,,,,6905000.0
