,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,185949000.0,181731000.0,171728000.0,163710000.0
Effect Of Accounting Charges,,,,
Income Before Tax,94449000.0,72660000.0,-22979000.0,208512000.0
Minority Interest,,,,
Net Income,93996000.0,69417000.0,-21674000.0,207841000.0
Selling General Administrative,221751000.0,232462000.0,202940000.0,207735000.0
Gross Profit,506149000.0,485391000.0,351760000.0,576594000.0
Ebit,98449000.0,71198000.0,-22908000.0,205149000.0
Operating Income,98449000.0,71198000.0,-22908000.0,205149000.0
Other Operating Expenses,,,,
Interest Expense,-4765000.0,-4765000.0,-1563000.0,-1563000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,453000.0,3243000.0,-1305000.0,671000.0
Total Revenue,632932000.0,613210000.0,485230000.0,705617000.0
Total Operating Expenses,534483000.0,542012000.0,508138000.0,500468000.0
Cost Of Revenue,126783000.0,127819000.0,133470000.0,129023000.0
Total Other Income Expense Net,-4000000.0,1462000.0,-71000.0,3363000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,93996000.0,69417000.0,-21674000.0,207841000.0
Net Income Applicable To Common Shares,93996000.0,69417000.0,-21674000.0,207841000.0
