,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-864088803950.0,286944120280.0,-1393902401780.0,-536552240630.0
Change To Liabilities,681006000000.0,516505000000.0,-67002000000.0,739879000000.0
Total Cashflows From Investing Activities,-1839889403770.0,-316116713970.0,-1884219184140.0,-1744300676110.0
Net Borrowings,1925437175020.0,-1270201603360.0,582166259790.0,-2220827802490.0
Total Cash From Financing Activities,1639160020410.0,-1866066074200.0,1052030060080.0,-2882604343590.0
Change To Operating Activities,-192614416000.0,-314402650000.0,88539650000.0,-347956860000.0
Net Income,2429720198710.0,1664343792740.0,1024735684350.0,701015621310.0
Change In Cash,1457907335380.0,-524000988380.0,-208505710300.0,-2013540968470.0
Effect Of Exchange Rate,65621293210.0,13939736460.0,52814935550.0,-85199789670.0
Total Cash From Operating Activities,1593015425530.0,1644242063330.0,570868478210.0,2698563840880.0
Depreciation,889118001250.0,878430854150.0,899098873380.0,936138798110.0
Other Cashflows From Investing Activities,280436940.0,59257296880.0,556812630.0,-77761457320.0
Dividends Paid,-304786319210.0,-627675574470.0,-1567322910.0,-118435538800.0
Change To Inventory,-2217110000000.0,-1215328000000.0,-1105301000000.0,-308730000000.0
Change To Account Receivables,-830428000000.0,-399007000000.0,-799397000000.0,697054000000.0
Other Cashflows From Financing Activities,18509164600.0,31811103630.0,588202165700.0,-268379148450.0
Change To Netincome,833323640070.0,513700065680.0,530194272450.0,281163281790.0
Capital Expenditures,-773069680860.0,-687307713740.0,-537877972900.0,-1021627285350.0
Repurchase Of Stock,,,-116771042500.0,-553542579500.0
