,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,23362000000.0,28030000000.0,32342000000.0,37919000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,3359413113010.0,2397838640960.0,1559558926800.0,518380779220.0
Minority Interest,4349822864860.0,4098758730200.0,3953318011590.0,3343241658090.0
Net Income,2429720198710.0,1664343792740.0,1024735684350.0,701015621310.0
Selling General Administrative,545787147630.0,510960052330.0,469504599780.0,494615607200.0
Gross Profit,3773785149600.0,2819332425070.0,2134164203960.0,1464588543420.0
Ebit,3113721910970.0,2194446163740.0,1545834919180.0,792818378220.0
Operating Income,3113721910970.0,2194446163740.0,1545834919180.0,792818378220.0
Other Operating Expenses,15638000000.0,25043000000.0,21759000000.0,15888000000.0
Interest Expense,-88547000000.0,-106295000000.0,-129317000000.0,-133000000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,731794274850.0,590666618320.0,420780100480.0,-216199715550.0
Total Revenue,20636882442640.0,18292466348600.0,16068722906870.0,15264210915700.0
Total Operating Expenses,17523160531670.0,16098020184860.0,14522887987690.0,14471392537480.0
Cost Of Revenue,16863097293040.0,15473133923530.0,13934558702910.0,13799622372280.0
Total Other Income Expense Net,245691202040.0,203392477220.0,13724007620.0,-274437599000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2627618838160.0,1807172022640.0,1138778826320.0,734580494770.0
Net Income Applicable To Common Shares,2428038993710.0,1661036202740.0,1024735684350.0,699334415830.0
