,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-206256000.0,-206256000.0,-206256000.0,-434000.0
Change To Liabilities,-13533000.0,22811000.0,-11901000.0,-5277000.0
Total Cashflows From Investing Activities,-214634000.0,-697000.0,-708000.0,-4945000.0
Total Cash From Financing Activities,99338000.0,-31410000.0,206354000.0,219109000.0
Change To Operating Activities,-58637000.0,-18369000.0,43560000.0,-149974000.0
Issuance Of Stock,97995000.0,167828000.0,208860000.0,219356000.0
Net Income,-102137000.0,-138580000.0,-123474000.0,-148343000.0
Change In Cash,-16645000.0,-8656000.0,320330000.0,197813000.0
Effect Of Exchange Rate,-2142000.0,701000.0,-2197000.0,1937000.0
Total Cash From Operating Activities,100793000.0,22750000.0,116881000.0,-18288000.0
Depreciation,3058000.0,4762000.0,3237000.0,3563000.0
Other Cashflows From Investing Activities,-3000000.0,-3000000.0,-3000000.0,-3000000.0
Change To Account Receivables,68471000.0,-88363000.0,4480000.0,4247000.0
Other Cashflows From Financing Activities,1343000.0,762000.0,-2506000.0,-247000.0
Change To Netincome,203571000.0,240489000.0,200979000.0,279815000.0
Capital Expenditures,-5378000.0,-697000.0,-708000.0,-4761000.0
Net Borrowings,,-200000000.0,-200000000.0,-200000000.0
