,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,223000000.0,81000000.0,84000000.0,87000000.0
Total Liab,331000000.0,304000000.0,301000000.0,301000000.0
Total Stockholder Equity,38263000000.0,35945000000.0,34740000000.0,34620000000.0
Other Current Liab,106000000.0,78000000.0,103000000.0,94000000.0
Total Assets,38594000000.0,36250000000.0,35041000000.0,34922000000.0
Common Stock,38263000000.0,306000000.0,34740000000.0,306000000.0
Other Current Assets,87000000.0,5000000.0,791000000.0,12000000.0
Other Liab,188000000.0,176000000.0,161000000.0,160000000.0
Other Assets,84000000.0,5000000.0,69000000.0,5000000.0
Cash,271000000.0,259000000.0,445000000.0,265000000.0
Total Current Liabilities,120000000.0,105000000.0,107000000.0,107000000.0
Short Long Term Debt,14000000.0,10000000.0,4000000.0,5000000.0
Total Current Assets,681000000.0,637000000.0,1320000000.0,581000000.0
Long Term Investments,37606000000.0,35347000000.0,33421000000.0,34066000000.0
Net Tangible Assets,38040000000.0,35718000000.0,34509000000.0,34386000000.0
Short Term Investments,323000000.0,249000000.0,84000000.0,235000000.0
Long Term Debt,23000000.0,1000000.0,33000000.0,34000000.0
Capital Surplus,,4884000000.0,,4884000000.0
Minority Interest,,1000000.0,,1000000.0
Retained Earnings,,36330000000.0,,34098000000.0
Good Will,,146000000.0,147000000.0,147000000.0
Treasury Stock,,-5575000000.0,,-4668000000.0
Deferred Long Term Asset Charges,,3000000.0,,2000000.0
Other Stockholder Equity,,-5575000000.0,,-4668000000.0
Property Plant Equipment,,34000000.0,,36000000.0
Net Receivables,,24000000.0,,18000000.0
Inventory,,5000000.0,,4000000.0
Accounts Payable,,5000000.0,,3000000.0
