,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,282000000.0,110000000.0,150000000.0,324000000.0
Total Cashflows From Investing Activities,-1818000000.0,-424000000.0,-1256000000.0,-80000000.0
Net Borrowings,706000000.0,588000000.0,149000000.0,-918000000.0
Total Cash From Financing Activities,585000000.0,469000000.0,46000000.0,-1032000000.0
Change To Operating Activities,-36000000.0,-69000000.0,-21000000.0,22000000.0
Issuance Of Stock,24000000.0,20000000.0,31000000.0,17000000.0
Net Income,431000000.0,378000000.0,272000000.0,442000000.0
Change In Cash,-613000000.0,-18000000.0,-182000000.0,-244000000.0
Repurchase Of Stock,-6000000.0,-11000000.0,-6000000.0,-3000000.0
Effect Of Exchange Rate,16000000.0,-40000000.0,82000000.0,26000000.0
Total Cash From Operating Activities,604000000.0,-23000000.0,966000000.0,842000000.0
Depreciation,137000000.0,129000000.0,125000000.0,132000000.0
Other Cashflows From Investing Activities,14000000.0,12000000.0,2000000.0,-2000000.0
Dividends Paid,-128000000.0,-128000000.0,-128000000.0,-127000000.0
Change To Inventory,-91000000.0,-189000000.0,75000000.0,65000000.0
Change To Account Receivables,-126000000.0,-354000000.0,250000000.0,-155000000.0
Other Cashflows From Financing Activities,-11000000.0,-11000000.0,-11000000.0,-1000000.0
Change To Netincome,89000000.0,-50000000.0,151000000.0,26000000.0
Capital Expenditures,-62000000.0,-80000000.0,-134000000.0,-78000000.0
