,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,-6000000.0,16000000.0,-42000000.0,45000000.0
Total Cashflows From Investing Activities,-505000000.0,9711000000.0,-735000000.0,-900000000.0
Net Borrowings,-2211000000.0,-3276000000.0,384000000.0,687000000.0
Total Cash From Financing Activities,-2814000000.0,-3531000000.0,-71000000.0,353000000.0
Change To Operating Activities,-18000000.0,109000000.0,-155000000.0,-211000000.0
Issuance Of Stock,5000000.0,5000000.0,1000000.0,2000000.0
Net Income,207000000.0,19000000.0,-1840000000.0,290000000.0
Change In Cash,-2862000000.0,7208000000.0,-21000000.0,-42000000.0
Repurchase Of Stock,-282000000.0,-1000000.0,-1000000.0,-1000000.0
Total Cash From Operating Activities,457000000.0,858000000.0,663000000.0,499000000.0
Depreciation,264000000.0,298000000.0,278000000.0,353000000.0
Other Cashflows From Investing Activities,-14000000.0,10209000000.0,-264000000.0,-6000000.0
Dividends Paid,-321000000.0,-320000000.0,-320000000.0,-319000000.0
Change To Account Receivables,14000000.0,37000000.0,16000000.0,-158000000.0
Other Cashflows From Financing Activities,-5000000.0,66000000.0,-136000000.0,-17000000.0
Change To Netincome,113000000.0,228000000.0,2365000000.0,189000000.0
Capital Expenditures,-491000000.0,-498000000.0,-471000000.0,-901000000.0
Change To Inventory,,-41000000.0,41000000.0,-9000000.0
Effect Of Exchange Rate,,,8000000.0,6000000.0
Investments,,,,7000000.0
