,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-1656000000.0,-3641000000.0,7675000000.0,-3500000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-2565000000.0,-3314000000.0,6476000000.0,-2471000000.0
Net Borrowings,-662000000.0,-105000000.0,-329000000.0,-81000000.0
Total Cash From Financing Activities,-860000000.0,-1997000000.0,-670000000.0,-183000000.0
Change To Operating Activities,3550000000.0,2808000000.0,-5074000000.0,-7330000000.0
Issuance Of Stock,37000000.0,54000000.0,59000000.0,47000000.0
Net Income,1530000000.0,2158000000.0,2828000000.0,819000000.0
Change In Cash,458000000.0,-956000000.0,2296000000.0,-6949000000.0
Repurchase Of Stock,-859000000.0,-879000000.0,-359000000.0,-359000000.0
Effect Of Exchange Rate,-35000000.0,-4000000.0,-213000000.0,218000000.0
Total Cash From Operating Activities,5417000000.0,4359000000.0,-3297000000.0,-4513000000.0
Depreciation,42000000.0,15000000.0,30000000.0,9000000.0
Other Cashflows From Investing Activities,-858000000.0,-54000000.0,-1550000000.0,995000000.0
Dividends Paid,-448000000.0,-455000000.0,-471000000.0,-441000000.0
Other Cashflows From Financing Activities,1072000000.0,-612000000.0,430000000.0,292000000.0
Change To Netincome,10000000.0,-261000000.0,-1663000000.0,2082000000.0
