,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,822000000.0,825000000.0,836000000.0,843000000.0
Capital Surplus,20488000000.0,20463000000.0,20420000000.0,20383000000.0
Total Liab,35810000000.0,36375000000.0,35039000000.0,33198000000.0
Total Stockholder Equity,18139000000.0,18149000000.0,17979000000.0,18984000000.0
Minority Interest,2458000000.0,2453000000.0,2478000000.0,2539000000.0
Other Current Liab,1346000000.0,1393000000.0,1163000000.0,1440000000.0
Total Assets,56407000000.0,56977000000.0,55496000000.0,54721000000.0
Common Stock,6000000.0,6000000.0,6000000.0,6000000.0
Other Current Assets,32000000.0,18000000.0,49000000.0,13000000.0
Retained Earnings,15350000000.0,15345000000.0,15449000000.0,16500000000.0
Other Liab,7239000000.0,7722000000.0,7580000000.0,7921000000.0
Good Will,1425000000.0,1425000000.0,1425000000.0,1425000000.0
Treasury Stock,-17705000000.0,-17665000000.0,-17896000000.0,-17905000000.0
Other Assets,1857000000.0,1894000000.0,1914000000.0,1068000000.0
Cash,2897000000.0,2207000000.0,1351000000.0,2514000000.0
Total Current Liabilities,13921000000.0,14551000000.0,11431000000.0,9518000000.0
Short Long Term Debt,1489000000.0,2489000000.0,516000000.0,971000000.0
Other Stockholder Equity,-589000000.0,-549000000.0,-780000000.0,-789000000.0
Property Plant Equipment,22377000000.0,23688000000.0,23677000000.0,24927000000.0
Total Current Assets,16019000000.0,15780000000.0,14418000000.0,13276000000.0
Long Term Investments,13907000000.0,13365000000.0,13226000000.0,13182000000.0
Net Tangible Assets,15892000000.0,15899000000.0,15718000000.0,16716000000.0
Net Receivables,8006000000.0,8062000000.0,8165000000.0,6522000000.0
Long Term Debt,13421000000.0,12924000000.0,14906000000.0,14658000000.0
Inventory,4400000000.0,4752000000.0,4273000000.0,3893000000.0
Accounts Payable,9215000000.0,8945000000.0,8246000000.0,5549000000.0
