,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,1408000000.0,1408000000.0,1509000000.0,1509000000.0
Capital Surplus,4578000000.0,4578000000.0,,
Total Liab,21435000000.0,21435000000.0,23001000000.0,23001000000.0
Total Stockholder Equity,7690000000.0,7690000000.0,7182000000.0,7182000000.0
Minority Interest,-46000000.0,-46000000.0,-22000000.0,-22000000.0
Other Current Liab,2902000000.0,2902000000.0,1450000000.0,1450000000.0
Total Assets,29079000000.0,29079000000.0,30161000000.0,30161000000.0
Common Stock,101000000.0,101000000.0,99000000.0,99000000.0
Other Liab,728000000.0,728000000.0,715000000.0,715000000.0
Good Will,11175000000.0,11175000000.0,10858000000.0,10858000000.0
Treasury Stock,3011000000.0,3011000000.0,7083000000.0,7083000000.0
Other Assets,262000000.0,262000000.0,225000000.0,225000000.0
Cash,2959000000.0,2959000000.0,3700000000.0,3700000000.0
Total Current Liabilities,15427000000.0,15427000000.0,16783000000.0,16783000000.0
Deferred Long Term Asset Charges,178000000.0,178000000.0,137000000.0,137000000.0
Short Long Term Debt,869000000.0,869000000.0,943000000.0,943000000.0
Other Stockholder Equity,3011000000.0,3011000000.0,7083000000.0,7083000000.0
Property Plant Equipment,2151000000.0,2151000000.0,2271000000.0,2271000000.0
Total Current Assets,13884000000.0,13884000000.0,15130000000.0,15130000000.0
Long Term Investments,199000000.0,199000000.0,168000000.0,168000000.0
Net Tangible Assets,-4893000000.0,-4893000000.0,-5185000000.0,-5185000000.0
Net Receivables,10648000000.0,10648000000.0,10817000000.0,10817000000.0
Long Term Debt,3461000000.0,3461000000.0,3653000000.0,3653000000.0
Inventory,277000000.0,277000000.0,230000000.0,230000000.0
Accounts Payable,11330000000.0,11330000000.0,12887000000.0,12887000000.0
Other Current Assets,,,276000000.0,276000000.0
