,2021-10-02,2021-07-03,2021-04-03,2021-01-02
Research Development,158377000.0,152079000.0,147285000.0,136697000.0
Effect Of Accounting Charges,,,,
Income Before Tax,351787000.0,298614000.0,286786000.0,223516000.0
Minority Interest,,,,
Net Income,319189000.0,285626000.0,298737000.0,201035000.0
Selling General Administrative,93489000.0,90299000.0,78123000.0,93139000.0
Gross Profit,621553000.0,546183000.0,528475000.0,537752000.0
Ebit,362860000.0,298302000.0,322258000.0,300198000.0
Operating Income,362860000.0,298302000.0,322258000.0,300198000.0
Other Operating Expenses,6827000.0,5503000.0,-19191000.0,7718000.0
Interest Expense,-15327000.0,-15279000.0,-18339000.0,-17453000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,32598000.0,12988000.0,-11951000.0,22481000.0
Total Revenue,1255248000.0,1110351000.0,1072730000.0,1094834000.0
Total Operating Expenses,892388000.0,812049000.0,750472000.0,794636000.0
Cost Of Revenue,633695000.0,564168000.0,544255000.0,557082000.0
Total Other Income Expense Net,-11073000.0,312000.0,-35472000.0,-76682000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,319189000.0,285626000.0,298737000.0,201035000.0
Net Income Applicable To Common Shares,319189000.0,285626000.0,298737000.0,201035000.0
