,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,26800000.0,27600000.0,13700000.0,400000.0
Total Cashflows From Investing Activities,-788500000.0,-344600000.0,-889900000.0,-311100000.0
Net Borrowings,161900000.0,-180100000.0,156000000.0,31600000.0
Total Cash From Financing Activities,-9600000.0,-342300000.0,-47700000.0,-125900000.0
Change To Operating Activities,101700000.0,-18800000.0,-229700000.0,-43200000.0
Net Income,331100000.0,295900000.0,235400000.0,260000000.0
Change In Cash,23700000.0,-25900000.0,-375000000.0,138500000.0
Repurchase Of Stock,-27400000.0,-12700000.0,-12700000.0,-12700000.0
Total Cash From Operating Activities,821800000.0,661000000.0,562600000.0,575500000.0
Depreciation,323700000.0,302600000.0,249200000.0,291400000.0
Other Cashflows From Investing Activities,-3500000.0,1500000.0,-10400000.0,-200000.0
Dividends Paid,-135600000.0,-135500000.0,-135400000.0,-129200000.0
Change To Account Receivables,-59200000.0,-8900000.0,10400000.0,-42100000.0
Other Cashflows From Financing Activities,-8500000.0,-14000000.0,-70900000.0,-29600000.0
Change To Netincome,97700000.0,62600000.0,244800000.0,109000000.0
Capital Expenditures,-277600000.0,-331000000.0,-305600000.0,-234300000.0
Issuance Of Stock,,,2600000.0,1300000.0
