,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,5840000000.0,5923000000.0,5011000000.0,2297000000.0
Total Liab,128965000000.0,65018000000.0,44705000000.0,43697000000.0
Total Stockholder Equity,14836000000.0,19374000000.0,19364000000.0,17182000000.0
Minority Interest,1822000000.0,1837000000.0,839000000.0,789000000.0
Other Current Liab,92731000000.0,33720000000.0,14589000000.0,11958000000.0
Total Assets,145623000000.0,86229000000.0,64908000000.0,61668000000.0
Common Stock,14836000000.0,5959000000.0,19364000000.0,1731000000.0
Other Current Assets,427000000.0,636000000.0,337000000.0,12871000000.0
Other Liab,20615000000.0,22318000000.0,21820000000.0,23329000000.0
Other Assets,4670000000.0,4377000000.0,4162000000.0,8069000000.0
Cash,3576000000.0,7043000000.0,6339000000.0,4774000000.0
Total Current Liabilities,103136000000.0,37729000000.0,18531000000.0,16417000000.0
Deferred Long Term Asset Charges,702000000.0,478000000.0,397000000.0,397000000.0
Short Long Term Debt,6707000000.0,1407000000.0,1278000000.0,445000000.0
Property Plant Equipment,19832000000.0,19325000000.0,19086000000.0,13984000000.0
Total Current Assets,107436000000.0,49137000000.0,28622000000.0,27207000000.0
Long Term Investments,7845000000.0,7467000000.0,8027000000.0,7508000000.0
Net Tangible Assets,8996000000.0,13451000000.0,14353000000.0,12282000000.0
Short Term Investments,3506000000.0,3993000000.0,2816000000.0,4219000000.0
Net Receivables,94363000000.0,35769000000.0,18132000000.0,3563000000.0
Long Term Debt,5214000000.0,4971000000.0,4354000000.0,2731000000.0
Inventory,5564000000.0,1696000000.0,998000000.0,1632000000.0
Accounts Payable,3698000000.0,2602000000.0,2664000000.0,2387000000.0
Retained Earnings,,10239000000.0,,8595000000.0
Treasury Stock,,3176000000.0,,2627000000.0
Other Stockholder Equity,,3176000000.0,,2627000000.0
Capital Surplus,,,,4229000000.0
Deferred Long Term Liab,,,,3000000.0
Good Will,,,,2603000000.0
