,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,109514000.0,109514000.0,105932500.0,105932500.0
Minority Interest,5068000.0,5068000.0,5209000.0,5209000.0
Net Income,86419500.0,86419500.0,92372000.0,92372000.0
Selling General Administrative,237675000.0,237675000.0,190011000.0,190011000.0
Gross Profit,375789000.0,375789000.0,304278000.0,304278000.0
Ebit,139303500.0,139303500.0,115399500.0,115399500.0
Operating Income,139303500.0,139303500.0,115399500.0,115399500.0
Other Operating Expenses,-1189500.0,-1189500.0,-1132500.0,-1132500.0
Interest Expense,-56443000.0,-56443000.0,-20109000.0,-20109000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,22195500.0,22195500.0,12948000.0,12948000.0
Total Revenue,492743500.0,492743500.0,410381500.0,410381500.0
Total Operating Expenses,353440000.0,353440000.0,294982000.0,294982000.0
Cost Of Revenue,116954500.0,116954500.0,106103500.0,106103500.0
Total Other Income Expense Net,-29789500.0,-29789500.0,-9467000.0,-9467000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,87318500.0,87318500.0,92984500.0,92984500.0
Net Income Applicable To Common Shares,86419500.0,86419500.0,92372000.0,92372000.0
