,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,2906855000.0,3051616000.0,2984098000.0,3156150000.0
Capital Surplus,2711934000.0,2657540000.0,2610472000.0,2586130000.0
Total Liab,14611210000.0,14784878000.0,14794960000.0,13967206000.0
Total Stockholder Equity,-4958305000.0,-4839742000.0,-5045177000.0,-4824382000.0
Minority Interest,15177000.0,15177000.0,13677000.0,15194000.0
Deferred Long Term Liab,5294000.0,4960000.0,5029000.0,4788000.0
Other Current Liab,205257000.0,196828000.0,192311000.0,133487000.0
Total Assets,9668082000.0,9960313000.0,9763460000.0,9158018000.0
Common Stock,1095000.0,1095000.0,1093000.0,1098000.0
Other Current Assets,99046000.0,89210000.0,88566000.0,55546000.0
Retained Earnings,-6890822000.0,-6759382000.0,-6848313000.0,-6604028000.0
Other Liab,183553000.0,185594000.0,179068000.0,186246000.0
Treasury Stock,-780512000.0,-738995000.0,-808429000.0,-807582000.0
Other Assets,428596000.0,402025000.0,421682000.0,408294000.0
Cash,187806000.0,273803000.0,176622000.0,308560000.0
Total Current Liabilities,592024000.0,626006000.0,560764000.0,614801000.0
Deferred Long Term Asset Charges,51331000.0,38890000.0,71494000.0,53722000.0
Short Long Term Debt,24000000.0,24000000.0,24000000.0,24000000.0
Other Stockholder Equity,-780512000.0,-738995000.0,-808429000.0,-807582000.0
Property Plant Equipment,5843414000.0,5934473000.0,5868541000.0,5050886000.0
Total Current Assets,403788000.0,482226000.0,389927000.0,472990000.0
Long Term Investments,85429000.0,89973000.0,99212000.0,69698000.0
Net Tangible Assets,-7865160000.0,-7891358000.0,-8029275000.0,-7980532000.0
Net Receivables,116936000.0,119213000.0,124739000.0,108884000.0
Long Term Debt,11822536000.0,11908447000.0,12019757000.0,11071796000.0
Accounts Payable,34790000.0,34602000.0,33610000.0,109969000.0
