,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-5000000.0,-6000000.0,-8000000.0,-5000000.0
Change To Liabilities,-52000000.0,-12000000.0,-232000000.0,49000000.0
Total Cashflows From Investing Activities,140000000.0,-112000000.0,-78000000.0,-397000000.0
Net Borrowings,-1040000000.0,952000000.0,373000000.0,648000000.0
Total Cash From Financing Activities,-1543000000.0,541000000.0,-230000000.0,-132000000.0
Change To Operating Activities,21000000.0,-55000000.0,-124000000.0,12000000.0
Net Income,343000000.0,433000000.0,219000000.0,-677000000.0
Change In Cash,-960000000.0,1065000000.0,-16000000.0,39000000.0
Repurchase Of Stock,-363000000.0,-357000000.0,-542000000.0,-718000000.0
Total Cash From Operating Activities,443000000.0,636000000.0,292000000.0,568000000.0
Depreciation,154000000.0,144000000.0,147000000.0,139000000.0
Other Cashflows From Investing Activities,225000000.0,225000000.0,2000000.0,2000000.0
Dividends Paid,-59000000.0,-60000000.0,-61000000.0,-62000000.0
Change To Inventory,1000000.0,3000000.0,2000000.0,2000000.0
Change To Account Receivables,-11000000.0,-56000000.0,45000000.0,-75000000.0
Other Cashflows From Financing Activities,-81000000.0,-81000000.0,-81000000.0,-81000000.0
Change To Netincome,-19000000.0,174000000.0,230000000.0,1115000000.0
Capital Expenditures,-80000000.0,-86000000.0,-78000000.0,-120000000.0
Issuance Of Stock,,6000000.0,6000000.0,6000000.0
