,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,156000000.0,57000000.0,59325000.0,61435000.0
Capital Surplus,5100000000.0,2755000000.0,2590576000.0,1585244000.0
Total Liab,176327000000.0,151432000000.0,132225841000.0,107077516000.0
Total Stockholder Equity,12236000000.0,9603000000.0,8815559000.0,7879562000.0
Minority Interest,369000000.0,300000000.0,225887000.0,213791000.0
Other Current Liab,519000000.0,1626000000.0,3083189000.0,2164805000.0
Total Assets,190996000000.0,163399000000.0,142346620000.0,115511007000.0
Other Current Assets,13125000000.0,18066000000.0,19806583000.0,2434719000.0
Retained Earnings,7071000000.0,6706000000.0,6203969000.0,5671749000.0
Other Liab,1289000000.0,1197000000.0,2790864000.0,1024315000.0
Good Will,344000000.0,143000000.0,142685000.0,142685000.0
Treasury Stock,65000000.0,142000000.0,20960000.0,622517000.0
Other Assets,61685000000.0,50705000000.0,47595773000.0,45043780000.0
Cash,6318000000.0,6797000000.0,4366421000.0,17365455000.0
Total Current Liabilities,172723000000.0,148124000000.0,127809381000.0,105001566000.0
Other Stockholder Equity,65000000.0,142000000.0,20960000.0,622517000.0
Property Plant Equipment,559000000.0,421000000.0,413370000.0,385750000.0
Total Current Assets,20311000000.0,26179000000.0,25043260000.0,20553281000.0
Long Term Investments,107941000000.0,85894000000.0,69092207000.0,49324076000.0
Net Tangible Assets,11736000000.0,9403000000.0,8613549000.0,7675442000.0
Short Term Investments,216000000.0,762000000.0,288438000.0,226847000.0
Net Receivables,63000000.0,29000000.0,30999000.0,36812000.0
Long Term Debt,1925000000.0,1834000000.0,1338183000.0,843628000.0
Inventory,1000000.0,1000000.0,1179000.0,1179000.0
Accounts Payable,171182000000.0,145838000000.0,124150106000.0,101981807000.0
Deferred Long Term Asset Charges,,2000000.0,1847000.0,776000.0
Common Stock,,,54000.0,52000.0
