,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,3000000.0,8000000.0,-3000000.0,-8000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-177000000.0,-80000000.0,-813000000.0,-134000000.0
Net Borrowings,-297000000.0,-109000000.0,-218000000.0,855000000.0
Total Cash From Financing Activities,-1391000000.0,484000000.0,-555000000.0,466000000.0
Change To Operating Activities,455000000.0,4574000000.0,-6820000000.0,3900000000.0
Issuance Of Stock,8000000.0,9000000.0,10000000.0,6000000.0
Net Income,1042000000.0,923000000.0,960000000.0,768000000.0
Change In Cash,-586000000.0,619000000.0,-2444000000.0,1255000000.0
Effect Of Exchange Rate,97000000.0,-56000000.0,-63000000.0,-237000000.0
Total Cash From Operating Activities,885000000.0,271000000.0,-1013000000.0,1160000000.0
Other Cashflows From Investing Activities,-55000000.0,-48000000.0,-504000000.0,-86000000.0
Dividends Paid,-338000000.0,-339000000.0,-339000000.0,-340000000.0
Other Cashflows From Financing Activities,-39000000.0,-64000000.0,-8000000.0,-55000000.0
Change To Netincome,-612000000.0,-5226000000.0,4847000000.0,-3914000000.0
Capital Expenditures,-21000000.0,-32000000.0,-6000000.0,-40000000.0
Depreciation,,,,328000000.0
