,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1207000000.0,1103000000.0,1283000000.0,824000000.0
Minority Interest,56000000.0,62000000.0,56000000.0,25000000.0
Net Income,1042000000.0,923000000.0,960000000.0,768000000.0
Selling General Administrative,2016000000.0,2036000000.0,2086000000.0,2079000000.0
Gross Profit,2835000000.0,2790000000.0,2860000000.0,2469000000.0
Ebit,1288000000.0,1187000000.0,1363000000.0,924000000.0
Operating Income,1288000000.0,1187000000.0,1363000000.0,924000000.0
Other Operating Expenses,-469000000.0,-433000000.0,-589000000.0,-534000000.0
Interest Expense,-81000000.0,-84000000.0,-80000000.0,-89000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,168000000.0,180000000.0,325000000.0,53000000.0
Total Revenue,8510000000.0,12669000000.0,1514000000.0,11649000000.0
Total Operating Expenses,7222000000.0,11482000000.0,151000000.0,10725000000.0
Cost Of Revenue,5675000000.0,9879000000.0,-1346000000.0,9180000000.0
Total Other Income Expense Net,-81000000.0,-84000000.0,-80000000.0,-100000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1039000000.0,923000000.0,958000000.0,771000000.0
Net Income Applicable To Common Shares,1019000000.0,900000000.0,937000000.0,744000000.0
