,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,1151000000.0,1084000000.0,1131000000.0,1065000000.0
Total Liab,15962000000.0,18409000000.0,16990000000.0,19203000000.0
Total Stockholder Equity,7247000000.0,6902000000.0,6821000000.0,6469000000.0
Minority Interest,26000000.0,26000000.0,24000000.0,3000000.0
Other Current Liab,202000000.0,533000000.0,580000000.0,814000000.0
Total Assets,23235000000.0,25337000000.0,23835000000.0,25675000000.0
Common Stock,7247000000.0,2736000000.0,6821000000.0,2736000000.0
Other Liab,39000000.0,981000000.0,39000000.0,1131000000.0
Other Assets,765000000.0,965000000.0,363000000.0,740000000.0
Cash,1915000000.0,1625000000.0,2656000000.0,3044000000.0
Total Current Liabilities,5755000000.0,7018000000.0,6421000000.0,7706000000.0
Short Long Term Debt,5553000000.0,1790000000.0,3332000000.0,1599000000.0
Property Plant Equipment,16949000000.0,16886000000.0,16775000000.0,16815000000.0
Total Current Assets,1915000000.0,3789000000.0,2662000000.0,4958000000.0
Long Term Investments,2455000000.0,2553000000.0,2904000000.0,2037000000.0
Net Tangible Assets,6096000000.0,5758000000.0,5690000000.0,5344000000.0
Long Term Debt,10147000000.0,10394000000.0,10514000000.0,10351000000.0
Capital Surplus,,611000000.0,,611000000.0
Deferred Long Term Liab,,11000000.0,,
Other Current Assets,,47000000.0,1000000.0,47000000.0
Retained Earnings,,4542000000.0,,4146000000.0
Good Will,,60000000.0,,60000000.0
Treasury Stock,,-987000000.0,,-1024000000.0
Deferred Long Term Asset Charges,,248000000.0,,23000000.0
Other Stockholder Equity,,-626000000.0,,-663000000.0
Net Receivables,,2007000000.0,5000000.0,1761000000.0
Inventory,,110000000.0,,98000000.0
Accounts Payable,,470000000.0,,639000000.0
Short Term Investments,,,,1000000.0
