,2021-10-31,2021-07-31,2021-04-30,2021-01-31
Investments,-47938000.0,-269352000.0,67545000.0,252558000.0
Change To Liabilities,-31160000.0,19929000.0,-107962000.0,262849000.0
Total Cashflows From Investing Activities,-51985000.0,-356570000.0,63751000.0,195234000.0
Net Borrowings,-539000.0,982749000.0,982749000.0,982749000.0
Total Cash From Financing Activities,-855418000.0,798457000.0,-60277000.0,-55417000.0
Change To Operating Activities,14652000.0,121461000.0,-175389000.0,-78054000.0
Issuance Of Stock,692000.0,48882000.0,538000.0,36124000.0
Net Income,-343322000.0,-383951000.0,-471001000.0,-139548000.0
Change In Cash,-926784000.0,385967000.0,74134000.0,118801000.0
Repurchase Of Stock,-855571000.0,-233174000.0,-60815000.0,-91541000.0
Total Cash From Operating Activities,-19381000.0,-55920000.0,70660000.0,-23766000.0
Depreciation,24000000.0,24829000.0,25796000.0,26397000.0
Other Cashflows From Investing Activities,2115000.0,-1293000.0,125000.0,125000.0
Change To Account Receivables,40937000.0,-109548000.0,494346000.0,-344617000.0
Change To Netincome,202216000.0,204465000.0,235998000.0,179007000.0
Capital Expenditures,-5467000.0,-3510000.0,-853000.0,-8800000.0
Effect Of Exchange Rate,,,,2750000.0
