,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,3937800000.0,4040200000.0,4166100000.0,4034400000.0
Capital Surplus,4791900000.0,4682800000.0,,4544000000.0
Total Liab,11018600000.0,11611400000.0,10954900000.0,10207100000.0
Total Stockholder Equity,5857900000.0,5823700000.0,5734200000.0,5716500000.0
Minority Interest,57500000.0,,,
Other Current Liab,2852400000.0,3290200000.0,2426700000.0,1569200000.0
Total Assets,16934000000.0,17435100000.0,16689100000.0,15923600000.0
Common Stock,2700000.0,2700000.0,5734200000.0,2600000.0
Other Current Assets,2496800000.0,2925200000.0,2034400000.0,1233300000.0
Retained Earnings,2093200000.0,1949600000.0,,1667000000.0
Other Liab,1113700000.0,1154300000.0,1171700000.0,1211700000.0
Good Will,8041900000.0,8080800000.0,8078100000.0,8078700000.0
Treasury Stock,-1029900000.0,-811400000.0,,-497100000.0
Other Assets,81400000.0,76000000.0,81700000.0,339300000.0
Cash,351100000.0,247100000.0,253700000.0,209300000.0
Total Current Liabilities,3571900000.0,3944800000.0,3133300000.0,2283300000.0
Short Long Term Debt,91300000.0,55200000.0,178200000.0,53900000.0
Other Stockholder Equity,-245900000.0,-190300000.0,,-201000000.0
Property Plant Equipment,697400000.0,717700000.0,741900000.0,763600000.0
Total Current Assets,3776400000.0,4127800000.0,3199200000.0,2298500000.0
Long Term Investments,399100000.0,392600000.0,422100000.0,409100000.0
Net Tangible Assets,-6121800000.0,-6297300000.0,-6510000000.0,-6396600000.0
Net Receivables,736300000.0,738700000.0,701700000.0,668400000.0
Long Term Debt,6049400000.0,6214900000.0,6338100000.0,6388500000.0
Accounts Payable,27500000.0,29800000.0,27900000.0,28100000.0
