,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-6700000.0,25500000.0,3400000.0,9300000.0
Change To Liabilities,-22200000.0,-20800000.0,3900000.0,-4400000.0
Total Cashflows From Investing Activities,-40300000.0,-40300000.0,-17900000.0,-14600000.0
Net Borrowings,-134700000.0,-253700000.0,70600000.0,-407900000.0
Total Cash From Financing Activities,-692300000.0,522100000.0,653700000.0,49600000.0
Change To Operating Activities,65500000.0,62000000.0,-161600000.0,72000000.0
Issuance Of Stock,35300000.0,58300000.0,30600000.0,60100000.0
Net Income,184400000.0,189800000.0,174900000.0,197100000.0
Change In Cash,-352600000.0,898800000.0,819800000.0,469000000.0
Repurchase Of Stock,-163100000.0,-147300000.0,-183300000.0,-10700000.0
Effect Of Exchange Rate,-2600000.0,100000.0,-1700000.0,4400000.0
Total Cash From Operating Activities,382600000.0,376600000.0,185700000.0,429600000.0
Depreciation,164900000.0,165800000.0,169500000.0,141700000.0
Other Cashflows From Investing Activities,2700000.0,2800000.0,2800000.0,2700000.0
Dividends Paid,-40700000.0,-40900000.0,-41200000.0,-36200000.0
Change To Account Receivables,-9200000.0,-33100000.0,-31400000.0,5800000.0
Other Cashflows From Financing Activities,-389100000.0,905700000.0,777000000.0,444300000.0
Change To Netincome,-5700000.0,24500000.0,-20100000.0,-18000000.0
Capital Expenditures,-13400000.0,-8500000.0,-9100000.0,-9400000.0
