,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,297625000.0,295663000.0,300554000.0,305611000.0
Capital Surplus,8170322000.0,8163095000.0,7618128000.0,7087658000.0
Total Liab,5780863000.0,5385166000.0,5362571000.0,5314879000.0
Total Stockholder Equity,6697600000.0,6555208000.0,5992235000.0,5525276000.0
Minority Interest,104833000.0,100616000.0,99403000.0,366431000.0
Other Current Liab,98453000.0,98429000.0,95076000.0,86988000.0
Total Assets,12583296000.0,12040990000.0,11454209000.0,11206586000.0
Common Stock,1160000.0,1159000.0,1118000.0,1076000.0
Other Current Assets,14019000.0,16112000.0,15074000.0,47400000.0
Other Liab,638975000.0,679295000.0,638652000.0,268082000.0
Good Will,461609000.0,448317000.0,438842000.0,428833000.0
Treasury Stock,-1473882000.0,-1609046000.0,-1627011000.0,-1563458000.0
Other Assets,129403000.0,146476000.0,114520000.0,97831000.0
Cash,71600000.0,103500000.0,105100000.0,82994000.0
Total Current Liabilities,333550000.0,316688000.0,259235000.0,250607000.0
Other Stockholder Equity,-1473882000.0,-1609046000.0,-1627011000.0,-1563458000.0
Property Plant Equipment,11075441000.0,10509534000.0,9997848000.0,9791824000.0
Total Current Assets,386251000.0,425631000.0,412425000.0,398687000.0
Long Term Investments,232967000.0,215369000.0,190020000.0,183800000.0
Net Tangible Assets,5938366000.0,5811228000.0,5252839000.0,4790832000.0
Net Receivables,256924000.0,262333000.0,249009000.0,221650000.0
Long Term Debt,4689437000.0,4311175000.0,4417935000.0,4747076000.0
Inventory,43708000.0,43686000.0,43242000.0,46643000.0
Deferred Long Term Liab,,,,11700000.0
Short Long Term Debt,,,,10000000.0
