,2021-03-27,2020-12-26,2020-09-26,2020-06-27
Intangible Assets,769503000.0,798649000.0,776598000.0,780172000.0
Capital Surplus,1594561000.0,1565255000.0,1534281000.0,1506901000.0
Total Liab,20613213000.0,21027094000.0,21407570000.0,21435388000.0
Total Stockholder Equity,1395597000.0,1426799000.0,1300011000.0,1158613000.0
Minority Interest,34471000.0,35958000.0,33977000.0,34265000.0
Other Current Liab,64820000.0,7136000.0,21160000.0,31402000.0
Total Assets,22043281000.0,22489851000.0,22741558000.0,22628266000.0
Common Stock,765175000.0,765175000.0,765175000.0,765175000.0
Other Current Assets,9325000.0,3462000.0,1208000.0,1296000.0
Retained Earnings,10241666000.0,10383493000.0,10546598000.0,10563008000.0
Other Liab,1277691000.0,1283719000.0,1271238000.0,1291554000.0
Good Will,3932570000.0,3929636000.0,3794152000.0,3732469000.0
Treasury Stock,-11205805000.0,-11287124000.0,-11546043000.0,-11676471000.0
Other Assets,636032000.0,580461000.0,536732000.0,537394000.0
Cash,4895723000.0,5767034000.0,5985532000.0,6059427000.0
Total Current Liabilities,7007929000.0,6716543000.0,7168067000.0,6717853000.0
Deferred Long Term Asset Charges,321674000.0,280511000.0,228234000.0,194115000.0
Short Long Term Debt,957303000.0,1366103000.0,1320628000.0,1508458000.0
Other Stockholder Equity,-1352446000.0,-1388169000.0,-1612386000.0,-1710881000.0
Property Plant Equipment,4959336000.0,5018401000.0,5025904000.0,5062183000.0
Total Current Assets,11586765000.0,11991429000.0,12433098000.0,12348232000.0
Long Term Investments,159075000.0,171275000.0,175074000.0,167816000.0
Net Tangible Assets,-3306476000.0,-3301486000.0,-3270739000.0,-3354028000.0
Short Term Investments,14668000.0,17777000.0,17762000.0,18233000.0
Net Receivables,3222193000.0,2900045000.0,3115760000.0,3001557000.0
Long Term Debt,11741114000.0,12463284000.0,12422780000.0,12833543000.0
Inventory,3218827000.0,3100478000.0,3134732000.0,3095085000.0
Accounts Payable,4221252000.0,3554624000.0,4035332000.0,3447065000.0
