,2021-03-27,2020-12-26,2020-09-26,2020-06-27
Change To Liabilities,715540000.0,-492305000.0,577013000.0,-480282000.0
Total Cashflows From Investing Activities,-82015000.0,-80892000.0,-82866000.0,-96319000.0
Net Borrowings,-1134582000.0,-9517000.0,-753589000.0,3606067000.0
Total Cash From Financing Activities,-1333671000.0,-205234000.0,-950827000.0,3377122000.0
Change To Operating Activities,-66834000.0,-64919000.0,58550000.0,-54361000.0
Issuance Of Stock,45596000.0,34702000.0,31933000.0,41099000.0
Net Income,88927000.0,67289000.0,216900000.0,-618419000.0
Change In Cash,-864453000.0,-220401000.0,-85684000.0,3811023000.0
Effect Of Exchange Rate,8127000.0,59961000.0,17095000.0,-9991000.0
Total Cash From Operating Activities,543106000.0,5764000.0,930914000.0,540211000.0
Depreciation,203322000.0,212664000.0,207899000.0,197404000.0
Other Cashflows From Investing Activities,1410000.0,-933000.0,-14391000.0,4767000.0
Dividends Paid,-230534000.0,-230003000.0,-228714000.0,-228256000.0
Change To Inventory,-119870000.0,60665000.0,-23320000.0,611954000.0
Change To Account Receivables,-322524000.0,303382000.0,-111261000.0,573160000.0
Other Cashflows From Financing Activities,-14151000.0,-416000.0,-457000.0,-41788000.0
Change To Netincome,-66302000.0,-52077000.0,-100133000.0,380030000.0
Capital Expenditures,-87223000.0,-88405000.0,-75539000.0,-116558000.0
