,2021-09-30,2021-07-03,2021-04-03,2021-01-02
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,287000000.0,244000000.0,130000000.0,53000000.0
Minority Interest,6000000.0,6000000.0,7000000.0,7000000.0
Net Income,209000000.0,317000000.0,104000000.0,50000000.0
Selling General Administrative,140000000.0,165000000.0,148000000.0,185000000.0
Gross Profit,726000000.0,657000000.0,615000000.0,554000000.0
Ebit,550000000.0,456000000.0,431000000.0,340000000.0
Operating Income,550000000.0,456000000.0,431000000.0,340000000.0
Other Operating Expenses,,,,
Interest Expense,-261000000.0,-263000000.0,-268000000.0,-267000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,79000000.0,-73000000.0,25000000.0,3000000.0
Total Revenue,1279000000.0,1218000000.0,1194000000.0,1108000000.0
Total Operating Expenses,729000000.0,762000000.0,763000000.0,768000000.0
Cost Of Revenue,553000000.0,561000000.0,579000000.0,554000000.0
Total Other Income Expense Net,-263000000.0,-212000000.0,-301000000.0,-287000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,208000000.0,317000000.0,105000000.0,50000000.0
Net Income Applicable To Common Shares,209000000.0,317000000.0,104000000.0,-23000000.0
