,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,157200000.0,195300000.0,158100000.0,127500000.0
Minority Interest,100400000.0,102900000.0,97600000.0,95900000.0
Net Income,114200000.0,127600000.0,127900000.0,101700000.0
Selling General Administrative,246800000.0,201300000.0,227200000.0,203300000.0
Gross Profit,532500000.0,523900000.0,502100000.0,444400000.0
Ebit,189800000.0,224200000.0,180600000.0,146600000.0
Operating Income,189800000.0,224200000.0,180600000.0,146600000.0
Other Operating Expenses,,,,
Interest Expense,-25700000.0,-25600000.0,-25800000.0,-27600000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,39000000.0,62500000.0,27500000.0,22900000.0
Total Revenue,791600000.0,774200000.0,745300000.0,698700000.0
Total Operating Expenses,601800000.0,550000000.0,564700000.0,552100000.0
Cost Of Revenue,259100000.0,250300000.0,243200000.0,254300000.0
Total Other Income Expense Net,-32600000.0,-28900000.0,-22500000.0,-19100000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,118200000.0,132800000.0,130600000.0,104600000.0
Net Income Applicable To Common Shares,114200000.0,127600000.0,127900000.0,101700000.0
