,2021-08-28,2021-05-28,2021-02-27,2020-11-27
Intangible Assets,4749000000.0,4749000000.0,4782000000.0,4782000000.0
Capital Surplus,5165000000.0,5165000000.0,5165000000.0,5165000000.0
Total Liab,33758000000.0,33758000000.0,33453000000.0,33453000000.0
Total Stockholder Equity,13354000000.0,13354000000.0,12343000000.0,12343000000.0
Minority Interest,-18000000.0,-18000000.0,-18000000.0,-18000000.0
Other Current Liab,531000000.0,531000000.0,622000000.0,622000000.0
Total Assets,47094000000.0,47094000000.0,45778000000.0,45778000000.0
Common Stock,490000000.0,490000000.0,490000000.0,490000000.0
Other Current Assets,491000000.0,491000000.0,642000000.0,642000000.0
Retained Earnings,4390000000.0,4390000000.0,3505000000.0,3505000000.0
Other Liab,2411000000.0,2411000000.0,2424000000.0,2424000000.0
Treasury Stock,3309000000.0,3309000000.0,3183000000.0,3183000000.0
Other Assets,2213000000.0,2213000000.0,2099000000.0,2099000000.0
Cash,2219000000.0,2219000000.0,2510000000.0,2510000000.0
Total Current Liabilities,15974000000.0,15974000000.0,15997000000.0,15997000000.0
Deferred Long Term Asset Charges,201000000.0,201000000.0,485000000.0,485000000.0
Short Long Term Debt,527000000.0,527000000.0,521000000.0,521000000.0
Other Stockholder Equity,3509000000.0,3509000000.0,3371000000.0,3371000000.0
Property Plant Equipment,22591000000.0,22591000000.0,23150000000.0,23150000000.0
Total Current Assets,12144000000.0,12144000000.0,10807000000.0,10807000000.0
Long Term Investments,93000000.0,93000000.0,94000000.0,94000000.0
Net Tangible Assets,7965000000.0,7965000000.0,6950000000.0,6950000000.0
Short Term Investments,2331000000.0,2331000000.0,1011000000.0,1011000000.0
Net Receivables,1193000000.0,1193000000.0,1304000000.0,1304000000.0
Long Term Debt,6130000000.0,6130000000.0,6188000000.0,6188000000.0
Inventory,2223000000.0,2223000000.0,2069000000.0,2069000000.0
Accounts Payable,8889000000.0,8889000000.0,8399000000.0,8399000000.0
