,2021-08-28,2021-05-28,2021-02-27,2020-11-27
Investments,-660500000.0,-660500000.0,-79000000.0,-79000000.0
Change To Liabilities,208500000.0,208500000.0,-940500000.0,-940500000.0
Total Cashflows From Investing Activities,-831000000.0,-831000000.0,3192000000.0,3192000000.0
Net Borrowings,-167500000.0,-167500000.0,-652000000.0,-652000000.0
Total Cash From Financing Activities,-456500000.0,-456500000.0,-3435500000.0,-3435500000.0
Change To Operating Activities,42500000.0,42500000.0,920500000.0,920500000.0
Net Income,390500000.0,390500000.0,2841500000.0,2841500000.0
Change In Cash,-208500000.0,-208500000.0,-425500000.0,-425500000.0
Repurchase Of Stock,-27500000.0,-27500000.0,-27500000.0,-27500000.0
Effect Of Exchange Rate,30000000.0,30000000.0,14500000.0,14500000.0
Total Cash From Operating Activities,1049000000.0,1049000000.0,-499000000.0,-499000000.0
Depreciation,427500000.0,427500000.0,332500000.0,332500000.0
Other Cashflows From Investing Activities,29500000.0,29500000.0,3556500000.0,3556500000.0
Dividends Paid,-242000000.0,-242000000.0,-154000000.0,-154000000.0
Change To Inventory,-77500000.0,-77500000.0,60500000.0,60500000.0
Change To Account Receivables,10500000.0,10500000.0,111000000.0,111000000.0
Other Cashflows From Financing Activities,-19500000.0,-19500000.0,-178000000.0,-178000000.0
Change To Netincome,47000000.0,47000000.0,-3923500000.0,-3923500000.0
Capital Expenditures,-226500000.0,-226500000.0,-317000000.0,-317000000.0
Issuance Of Stock,,,6500000.0,6500000.0
