,2021-09-25,2021-06-26,2021-03-27,2020-12-26
Change To Liabilities,-24098000.0,39987000.0,205828000.0,-80815000.0
Total Cashflows From Investing Activities,-165551000.0,-115194000.0,-100519000.0,-132048000.0
Net Borrowings,-1160000.0,-1121000.0,-1086000.0,88928000.0
Total Cash From Financing Activities,-197669000.0,-254525000.0,-268424000.0,-27722000.0
Change To Operating Activities,75628000.0,14047000.0,-21584000.0,62381000.0
Issuance Of Stock,5167000.0,11318000.0,58708000.0,25587000.0
Net Income,224400000.0,370022000.0,181354000.0,135893000.0
Change In Cash,-300290000.0,262071000.0,-191826000.0,229770000.0
Repurchase Of Stock,-142307000.0,-204826000.0,-265476000.0,-79805000.0
Total Cash From Operating Activities,62930000.0,631790000.0,177117000.0,389540000.0
Depreciation,69824000.0,64853000.0,60054000.0,58490000.0
Dividends Paid,-59369000.0,-59896000.0,-60570000.0,-46621000.0
Change To Inventory,-206949000.0,91853000.0,-301407000.0,131770000.0
Change To Netincome,14268000.0,7176000.0,32584000.0,55959000.0
Capital Expenditures,-166329000.0,-115288000.0,-100741000.0,-132710000.0
Other Cashflows From Financing Activities,,,,-15811000.0
