,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-950000000.0,-6428075400.0,-8316648380.0,-341921100.0
Change To Liabilities,-1158651630.0,1158651630.0,0.0,2006221700.0
Total Cashflows From Investing Activities,-1134575896.0,-6793488288.0,-8684781143.0,-546992241.0
Net Borrowings,827931298.0,-227923768.0,-50210000.0,397698102.0
Total Cash From Financing Activities,-241922068.0,-259796383.0,-77979673.0,419030091.0
Net Income,1195276604.0,1393510041.0,1022011288.0,-776687952.0
Change In Cash,-236793773.0,-4499801395.0,-6296606363.0,-1103636807.0
Effect Of Exchange Rate,708671.0,-5312843.0,289320.0,-15102038.0
Total Cash From Operating Activities,1138995520.0,2558796119.0,2465865133.0,-960572619.0
Depreciation,-534237858.0,534237858.0,534237858.0,1105226309.0
Other Cashflows From Investing Activities,235165936.0,21696002.0,-65640984.0,140058255.0
Dividends Paid,-1027926732.0,-5498994.0,-4687066.0,-2248704.0
Change To Inventory,-1066352506.0,1066352506.0,1066352506.0,-100786072.0
Change To Account Receivables,-237372311.0,237372311.0,237372311.0,65871994.0
Other Cashflows From Financing Activities,-41926634.0,-32600541.0,-23082607.0,21580693.0
Change To Netincome,2975377371.0,-1866372377.0,1443853845.0,-3317883616.0
Capital Expenditures,-432118963.0,-393177934.0,-310497313.0,-345462768.0
Issuance Of Stock,,6226920.0,6226920.0,2000000.0
