,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,5185704.0,4362749.0,3885806.0,10011612.0
Effect Of Accounting Charges,,,,
Income Before Tax,1644571699.0,1892627015.0,1398233281.0,-884187334.0
Minority Interest,807433645.0,773254511.0,778637413.0,746091651.0
Net Income,1195276604.0,1393510041.0,1022011288.0,-776687952.0
Selling General Administrative,1583097682.0,1730714793.0,2325701350.0,1618425705.0
Gross Profit,3581728939.0,4076413375.0,4029053849.0,931478528.0
Ebit,1783082309.0,1600550047.0,1107913526.0,-1008417024.0
Operating Income,1783082309.0,1600550047.0,1107913526.0,-1008417024.0
Other Operating Expenses,212077956.0,739709021.0,590915220.0,311002024.0
Interest Expense,-101944254.0,-9837623.0,-5020811.0,-8408855.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,414043643.0,460493123.0,343501958.0,-100032114.0
Total Revenue,8480230687.0,9363429445.0,8927731306.0,3337631448.0
Total Operating Expenses,6697148378.0,7762879398.0,7819817780.0,4346048472.0
Cost Of Revenue,4898501748.0,5287016070.0,4898677457.0,2406152920.0
Total Other Income Expense Net,-138510610.0,292076968.0,290319755.0,124229690.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1230528056.0,1432133892.0,1054731323.0,-784155220.0
Net Income Applicable To Common Shares,1205397104.0,1383389541.0,1022011288.0,-776687952.0
