,2021-10-02,2021-07-03,2021-04-03,2021-01-02
Intangible Assets,6519000000.0,6587000000.0,6649000000.0,6719000000.0
Capital Surplus,4486000000.0,4464000000.0,4443000000.0,4411000000.0
Total Liab,18455000000.0,18970000000.0,18404000000.0,19677000000.0
Total Stockholder Equity,17723000000.0,16561000000.0,15931000000.0,15638000000.0
Minority Interest,131000000.0,132000000.0,139000000.0,143000000.0
Other Current Liab,1981000000.0,1818000000.0,1386000000.0,1631000000.0
Total Assets,36309000000.0,35663000000.0,34474000000.0,35458000000.0
Common Stock,45000000.0,45000000.0,45000000.0,45000000.0
Other Current Assets,533000000.0,1009000000.0,896000000.0,323000000.0
Retained Earnings,17502000000.0,16305000000.0,15716000000.0,15399000000.0
Other Liab,3481000000.0,4000000000.0,4008000000.0,4037000000.0
Good Will,10549000000.0,10554000000.0,10555000000.0,10913000000.0
Treasury Stock,-4310000000.0,-4253000000.0,-4273000000.0,-4217000000.0
Other Assets,942000000.0,1481000000.0,1487000000.0,1510000000.0
Cash,2507000000.0,1613000000.0,877000000.0,2406000000.0
Total Current Liabilities,6325000000.0,6184000000.0,4612000000.0,4849000000.0
Short Long Term Debt,1067000000.0,1566000000.0,580000000.0,566000000.0
Other Stockholder Equity,-172000000.0,-125000000.0,-150000000.0,-102000000.0
Property Plant Equipment,8368000000.0,7725000000.0,7661000000.0,7664000000.0
Total Current Assets,9822000000.0,9208000000.0,8014000000.0,8544000000.0
Long Term Investments,109000000.0,108000000.0,108000000.0,108000000.0
Net Tangible Assets,655000000.0,-580000000.0,-1273000000.0,-1994000000.0
Net Receivables,2400000000.0,2324000000.0,2113000000.0,1900000000.0
Long Term Debt,8281000000.0,8786000000.0,9784000000.0,10791000000.0
Inventory,4382000000.0,4262000000.0,4128000000.0,3915000000.0
Accounts Payable,2225000000.0,1950000000.0,1900000000.0,1997000000.0
