,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,909560000.0,912914000.0,612483000.0,554320000.0
Capital Surplus,2475085000.0,2417658000.0,2288781000.0,2327913000.0
Total Liab,3149363000.0,2682948000.0,2696326000.0,2810808000.0
Total Stockholder Equity,3469668000.0,3618932000.0,3331892000.0,3155291000.0
Other Current Liab,1248081000.0,1057739000.0,1162126000.0,1297218000.0
Total Assets,6619031000.0,6314255000.0,6028218000.0,5966099000.0
Common Stock,1390000.0,1389000.0,1376000.0,1375000.0
Other Current Assets,821509000.0,678509000.0,597789000.0,833057000.0
Retained Earnings,2033524000.0,2023227000.0,1870971000.0,1652159000.0
Other Liab,375053000.0,360668000.0,301940000.0,312184000.0
Good Will,662585000.0,645591000.0,535306000.0,534535000.0
Treasury Stock,-1040331000.0,-823342000.0,-829236000.0,-826156000.0
Other Assets,333356000.0,324124000.0,318209000.0,369100000.0
Cash,856901000.0,1400876000.0,1422884000.0,1649832000.0
Total Current Liabilities,2566873000.0,2165329000.0,2234715000.0,2341789000.0
Deferred Long Term Asset Charges,74994000.0,78383000.0,90206000.0,127312000.0
Other Stockholder Equity,-19747000.0,-2770000.0,-8664000.0,-5584000.0
Property Plant Equipment,439981000.0,388344000.0,314127000.0,297007000.0
Total Current Assets,4243458000.0,4013612000.0,4220515000.0,4159959000.0
Long Term Investments,30091000.0,29670000.0,27578000.0,51178000.0
Net Tangible Assets,1897523000.0,2060427000.0,2184103000.0,2066436000.0
Short Term Investments,1440631000.0,1135188000.0,1308692000.0,772683000.0
Net Receivables,912333000.0,590943000.0,658316000.0,686596000.0
Inventory,12579000.0,11491000.0,17742000.0,26733000.0
Accounts Payable,83401000.0,67136000.0,71001000.0,100159000.0
Minority Interest,,12375000.0,,
