,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-311747000.0,170463000.0,-514165000.0,280954000.0
Change To Liabilities,470680000.0,-136658000.0,-91819000.0,-143566000.0
Total Cashflows From Investing Activities,-370236000.0,-13857000.0,-565825000.0,261725000.0
Net Borrowings,-234000.0,-234000.0,-234000.0,-234000.0
Total Cash From Financing Activities,-205355000.0,-39031000.0,-10967000.0,-4672000.0
Change To Operating Activities,-232547000.0,-63415000.0,-81439000.0,-136568000.0
Net Income,10297000.0,152256000.0,218812000.0,182248000.0
Change In Cash,-442672000.0,97131000.0,-452542000.0,428009000.0
Repurchase Of Stock,-205121000.0,-48261000.0,-10967000.0,-12384000.0
Effect Of Exchange Rate,-2518000.0,1777000.0,-407000.0,10040000.0
Total Cash From Operating Activities,135437000.0,148242000.0,124657000.0,160916000.0
Depreciation,34425000.0,27679000.0,25754000.0,25169000.0
Change To Inventory,-1181000.0,6336000.0,8955000.0,814000.0
Change To Account Receivables,-317525000.0,74681000.0,27651000.0,209021000.0
Change To Netincome,155738000.0,72623000.0,-282000.0,8602000.0
Capital Expenditures,-24759000.0,-86433000.0,-28716000.0,-15186000.0
Issuance Of Stock,,9230000.0,9230000.0,7712000.0
