,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,1367451000.0,1397732000.0,1324352000.0,1351650000.0
Capital Surplus,4366044000.0,4347884000.0,4307046000.0,4143094000.0
Total Liab,688171000.0,666562000.0,643796000.0,660687000.0
Total Stockholder Equity,4590272000.0,4547968000.0,4519020000.0,4303451000.0
Minority Interest,658057000.0,650360000.0,646118000.0,715712000.0
Other Current Liab,2700000.0,2700000.0,2700000.0,5800000.0
Total Assets,5936500000.0,5864890000.0,5808934000.0,5679850000.0
Common Stock,2000.0,2000.0,2000.0,2000.0
Other Current Assets,25396000.0,22799000.0,11783000.0,12671000.0
Retained Earnings,221947000.0,195368000.0,207870000.0,156041000.0
Other Liab,472496000.0,471336000.0,471140000.0,446950000.0
Good Will,2782779000.0,2782779000.0,2694797000.0,2694797000.0
Treasury Stock,2279000.0,4714000.0,4102000.0,4314000.0
Other Assets,696765000.0,719442000.0,714776000.0,639336000.0
Cash,821905000.0,681225000.0,809938000.0,791280000.0
Total Current Liabilities,188905000.0,166454000.0,141454000.0,190886000.0
Deferred Long Term Asset Charges,641708000.0,659274000.0,662210000.0,579562000.0
Other Stockholder Equity,2279000.0,4714000.0,4102000.0,4314000.0
Property Plant Equipment,50997000.0,57673000.0,59805000.0,63251000.0
Total Current Assets,1017408000.0,886164000.0,994104000.0,909716000.0
Long Term Investments,21100000.0,21100000.0,21100000.0,21100000.0
Net Tangible Assets,440042000.0,367457000.0,499871000.0,257004000.0
Net Receivables,170107000.0,182140000.0,172383000.0,105765000.0
Accounts Payable,62140000.0,67886000.0,59119000.0,31004000.0
