,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,57459000.0,59269000.0,57820000.0,
Capital Surplus,2838057000.0,2777400000.0,383871000.0,
Total Liab,634082000.0,545790000.0,641669000.0,
Total Stockholder Equity,2037143000.0,2059906000.0,-189114000.0,-292648000.0
Deferred Long Term Liab,4400000.0,,,
Other Current Liab,360238000.0,290640000.0,272378000.0,
Total Assets,2671225000.0,2605696000.0,1289084000.0,
Common Stock,2000.0,2000.0,1000.0,
Other Current Assets,22396000.0,19968000.0,21251000.0,
Retained Earnings,-797498000.0,-713996000.0,-569277000.0,
Other Liab,32328000.0,34102000.0,28767000.0,
Good Will,286251000.0,271200000.0,263050000.0,
Treasury Stock,-3418000.0,-3500000.0,-3709000.0,
Other Assets,47702000.0,45443000.0,43516000.0,
Cash,1272578000.0,1759415000.0,453258000.0,
Total Current Liabilities,503222000.0,409813000.0,381802000.0,
Other Stockholder Equity,-3418000.0,-3500000.0,-3709000.0,
Property Plant Equipment,199153000.0,198808000.0,202995000.0,
Total Current Assets,2080660000.0,2030976000.0,721703000.0,
Net Tangible Assets,1693433000.0,1729437000.0,-509984000.0,-572987000.0
Short Term Investments,479406000.0,,,
Net Receivables,274255000.0,225525000.0,219479000.0,
Accounts Payable,11303000.0,7856000.0,12258000.0,
Long Term Debt,,,124449000.0,
