,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Research Development,120008000.0,116648000.0,85108000.0,83429500.0
Effect Of Accounting Charges,,,,
Income Before Tax,-84020000.0,-144321000.0,-26163000.0,-25938000.0
Minority Interest,,,,
Net Income,-83502000.0,-144719000.0,-27351000.0,-27043500.0
Selling General Administrative,126968000.0,178279000.0,83536000.0,81042500.0
Gross Profit,167829000.0,153244000.0,143899000.0,139512500.0
Ebit,-79147000.0,-141683000.0,-24745000.0,-24959500.0
Operating Income,-79147000.0,-141683000.0,-24745000.0,-24959500.0
Other Operating Expenses,,,,
Interest Expense,-117000.0,-615000.0,-656000.0,-394000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-518000.0,398000.0,1188000.0,1105500.0
Total Revenue,220336000.0,200784000.0,184331000.0,175662500.0
Total Operating Expenses,299483000.0,342467000.0,209076000.0,200622000.0
Cost Of Revenue,52507000.0,47540000.0,40432000.0,36150000.0
Total Other Income Expense Net,-4873000.0,-2638000.0,-1418000.0,-978500.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-83502000.0,-144719000.0,-27351000.0,-27043500.0
Net Income Applicable To Common Shares,-83502000.0,-144719000.0,-27351000.0,-27043500.0
