,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,19569000.0,12670000.0,3893000.0,29219000.0
Minority Interest,1219576000.0,1125179000.0,1004359000.0,880685000.0
Net Income,17731000.0,11720000.0,3104000.0,26532000.0
Selling General Administrative,19066000.0,18384000.0,15995000.0,23095000.0
Gross Profit,225140000.0,211346000.0,198600000.0,209817000.0
Ebit,49188000.0,43075000.0,34740000.0,35577000.0
Operating Income,49188000.0,43075000.0,34740000.0,35577000.0
Other Operating Expenses,981000.0,1116000.0,1176000.0,2936000.0
Interest Expense,-36289000.0,-35404000.0,-78156000.0,-62524000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,529000.0,135000.0,619000.0,668000.0
Total Revenue,344220000.0,321099000.0,306363000.0,306900000.0
Total Operating Expenses,295032000.0,278024000.0,271623000.0,271323000.0
Cost Of Revenue,119080000.0,109753000.0,107763000.0,97083000.0
Total Other Income Expense Net,-29619000.0,-30405000.0,-30847000.0,-6358000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,19040000.0,12535000.0,3274000.0,28551000.0
Net Income Applicable To Common Shares,16673000.0,10663000.0,2048000.0,25481000.0
