,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-6018215000.0,-10603351000.0,-166857000.0,-4865339000.0
Change To Liabilities,307353000.0,309702000.0,1284689000.0,270478000.0
Total Cashflows From Investing Activities,-23222449000.0,-18482317000.0,-7119745000.0,-17437273000.0
Net Borrowings,6475969000.0,6037583000.0,2195216000.0,-3177484000.0
Total Cash From Financing Activities,-9694304000.0,13238352000.0,2579541000.0,-3152512000.0
Change To Operating Activities,-1011426000.0,2371246000.0,-617256000.0,-709652000.0
Net Income,17460235000.0,11943075000.0,10427915000.0,4866759000.0
Change In Cash,-10895622000.0,16715305000.0,13237141000.0,-4791043000.0
Effect Of Exchange Rate,-104375000.0,-1164249000.0,-503325000.0,-273565000.0
Total Cash From Operating Activities,22125506000.0,23123519000.0,18280670000.0,16072307000.0
Depreciation,11350598000.0,11275547000.0,11463816000.0,11639170000.0
Other Cashflows From Investing Activities,-202324000.0,1439567000.0,998086000.0,264695000.0
Dividends Paid,-19870459000.0,-19870459000.0,-19870459000.0,-452000.0
Change To Inventory,-739406000.0,-378683000.0,167008000.0,306704000.0
Change To Account Receivables,-2922608000.0,-1133124000.0,-2210538000.0,-298926000.0
Other Cashflows From Financing Activities,3700186000.0,7200769000.0,384325000.0,25424000.0
Change To Netincome,-2768051000.0,-1637818000.0,-2933534000.0,-908556000.0
Capital Expenditures,-17456552000.0,-8519639000.0,-7351902000.0,-11737699000.0
