,2021-07-31,2021-04-30,2021-01-31,2020-10-31
Investments,-235356000.0,-35293000.0,21320000.0,-259270000.0
Change To Liabilities,-44752000.0,-14970000.0,286669000.0,-87231000.0
Total Cashflows From Investing Activities,-242814000.0,-37949000.0,21093000.0,-262586000.0
Net Borrowings,-98000.0,-286000.0,-619000.0,79000.0
Total Cash From Financing Activities,5657000.0,16805000.0,8993000.0,6265000.0
Change To Operating Activities,-7462000.0,4835000.0,-10398000.0,-4043000.0
Issuance Of Stock,20851000.0,17091000.0,9612000.0,6186000.0
Net Income,108858000.0,115567000.0,102918000.0,96959000.0
Change In Cash,-118272000.0,454476000.0,96238000.0,-161517000.0
Repurchase Of Stock,-15096000.0,-15096000.0,-15096000.0,-15096000.0
Effect Of Exchange Rate,-180000.0,-2765000.0,-2199000.0,-599000.0
Total Cash From Operating Activities,119065000.0,478385000.0,68351000.0,95403000.0
Depreciation,6880000.0,6628000.0,6735000.0,7525000.0
Change To Account Receivables,-21142000.0,297571000.0,-374250000.0,20863000.0
Change To Netincome,73935000.0,58690000.0,53995000.0,51442000.0
Capital Expenditures,-5325000.0,-2656000.0,-227000.0,-3316000.0
