,2021-07-03,2021-04-03,2020-12-26,2020-09-26
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,179150000.0,89049000.0,386707000.0,293661000.0
Minority Interest,,,,
Net Income,324245000.0,89520000.0,347240000.0,256722000.0
Selling General Administrative,1099034000.0,1155947000.0,1195245000.0,997960000.0
Gross Profit,1240406000.0,1350573000.0,1649017000.0,1329118000.0
Ebit,141372000.0,194626000.0,453772000.0,331158000.0
Operating Income,141372000.0,194626000.0,453772000.0,331158000.0
Other Operating Expenses,,,,
Interest Expense,-34917000.0,-37971000.0,-34315000.0,-34107000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,25178000.0,27306000.0,59048000.0,50415000.0
Total Revenue,2194557000.0,2582672000.0,2971541000.0,2608324000.0
Total Operating Expenses,2053185000.0,2388046000.0,2517769000.0,2277166000.0
Cost Of Revenue,954151000.0,1232099000.0,1322524000.0,1279206000.0
Total Other Income Expense Net,37778000.0,-105577000.0,-67065000.0,-37497000.0
Discontinued Operations,170273000.0,27777000.0,19581000.0,13476000.0
Net Income From Continuing Ops,153972000.0,61743000.0,327659000.0,243246000.0
Net Income Applicable To Common Shares,324245000.0,89520000.0,347240000.0,256722000.0
