,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Capital Surplus,11752852000.0,9366561000.0,9364294000.0,9363539000.0
Total Liab,5420018000.0,7484479000.0,7485309000.0,7569868000.0
Total Stockholder Equity,12050107000.0,9656640000.0,9521559000.0,9415839000.0
Minority Interest,78679000.0,78429000.0,78133000.0,77906000.0
Deferred Long Term Liab,64558000.0,25793000.0,28163000.0,10667000.0
Other Current Liab,226300000.0,177114000.0,177089000.0,176992000.0
Total Assets,17548804000.0,17219548000.0,17085001000.0,17063613000.0
Common Stock,6289000.0,5370000.0,5370000.0,5367000.0
Other Current Assets,3190000.0,4357000.0,2682000.0,2710000.0
Retained Earnings,290966000.0,355524000.0,232038000.0,139454000.0
Other Liab,79200000.0,79403000.0,77924000.0,170792000.0
Other Assets,67327000.0,28365000.0,31004000.0,12694000.0
Cash,669514000.0,407522000.0,322530000.0,315993000.0
Total Current Liabilities,357337000.0,275778000.0,278398000.0,269149000.0
Property Plant Equipment,239000000.0,243605000.0,244939000.0,244901000.0
Total Current Assets,16718580000.0,16442316000.0,16293807000.0,16249324000.0
Long Term Investments,523897000.0,505262000.0,515251000.0,556694000.0
Net Tangible Assets,12050107000.0,9656640000.0,9521559000.0,9415839000.0
Net Receivables,16045876000.0,16030437000.0,15968595000.0,15930621000.0
Long Term Debt,4692032000.0,6843718000.0,6849354000.0,6858053000.0
Accounts Payable,514000.0,390000.0,249000.0,734000.0
Treasury Stock,,-70815000.0,-80143000.0,-92521000.0
Other Stockholder Equity,,-70815000.0,-80143000.0,-92521000.0
