,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1177500000.0,1177500000.0,1022500000.0,1022500000.0
Minority Interest,2012000000.0,2012000000.0,1224000000.0,1224000000.0
Net Income,-601000000.0,-601000000.0,657000000.0,657000000.0
Selling General Administrative,2318500000.0,2318500000.0,2117500000.0,2117500000.0
Gross Profit,3476500000.0,3476500000.0,3385000000.0,3385000000.0
Ebit,769000000.0,769000000.0,1273500000.0,1273500000.0
Operating Income,769000000.0,769000000.0,1273500000.0,1273500000.0
Other Operating Expenses,389000000.0,389000000.0,-6000000.0,-6000000.0
Interest Expense,-942500000.0,-942500000.0,-94500000.0,-94500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1687000000.0,1687000000.0,245000000.0,245000000.0
Total Revenue,11191000000.0,11191000000.0,10713500000.0,10713500000.0
Total Operating Expenses,10422000000.0,10422000000.0,9440000000.0,9440000000.0
Cost Of Revenue,7714500000.0,7714500000.0,7328500000.0,7328500000.0
Total Other Income Expense Net,408500000.0,408500000.0,-251000000.0,-251000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-509500000.0,-509500000.0,777500000.0,777500000.0
Net Income Applicable To Common Shares,-601000000.0,-601000000.0,657000000.0,657000000.0
