,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,1265300000.0,1319000000.0,1355700000.0,1853200000.0
Capital Surplus,2567400000.0,2534900000.0,2515300000.0,2490900000.0
Total Liab,4928700000.0,4943400000.0,5039000000.0,4863600000.0
Total Stockholder Equity,2714400000.0,2753500000.0,2756300000.0,2698200000.0
Minority Interest,19400000.0,16700000.0,15200000.0,
Other Current Liab,595200000.0,665000000.0,740400000.0,597600000.0
Total Assets,7662500000.0,7713600000.0,7810500000.0,7561800000.0
Common Stock,100000.0,100000.0,100000.0,100000.0
Other Current Assets,35500000.0,40900000.0,44000000.0,32300000.0
Retained Earnings,5145700000.0,4991000000.0,4884100000.0,4762200000.0
Other Liab,483500000.0,487400000.0,446900000.0,461600000.0
Good Will,4129500000.0,4168900000.0,4135600000.0,4108100000.0
Treasury Stock,-4998800000.0,-4772500000.0,-4643200000.0,-4555000000.0
Other Assets,188000000.0,197800000.0,188000000.0,182200000.0
Cash,302100000.0,276300000.0,390900000.0,218800000.0
Total Current Liabilities,1843100000.0,1493900000.0,1622900000.0,1430800000.0
Deferred Long Term Asset Charges,8700000.0,9100000.0,9000000.0,9100000.0
Short Long Term Debt,349400000.0,,450000000.0,449900000.0
Other Stockholder Equity,-428600000.0,-348900000.0,-366200000.0,-375700000.0
Property Plant Equipment,932200000.0,915000000.0,910600000.0,431500000.0
Total Current Assets,934100000.0,918700000.0,1041600000.0,794200000.0
Long Term Investments,213400000.0,194200000.0,179000000.0,192600000.0
Net Tangible Assets,-2680400000.0,-2734400000.0,-2735000000.0,-3263100000.0
Short Term Investments,4600000.0,4500000.0,4300000.0,4100000.0
Net Receivables,489000000.0,498200000.0,519500000.0,457800000.0
Long Term Debt,2340900000.0,2689900000.0,2689600000.0,2689300000.0
Accounts Payable,440000000.0,386900000.0,380200000.0,99300000.0
