,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-74315000.0,134557000.0,16232000.0,43727000.0
Minority Interest,,,,
Net Income,-78021000.0,130428000.0,18234000.0,23818000.0
Selling General Administrative,952526000.0,982853000.0,964473000.0,964025000.0
Gross Profit,882728000.0,1128060000.0,1003027000.0,1064590000.0
Ebit,-69798000.0,145207000.0,38554000.0,100565000.0
Operating Income,-69798000.0,145207000.0,38554000.0,100565000.0
Other Operating Expenses,,,,
Interest Expense,-8492000.0,-8486000.0,-8267000.0,-59268000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3706000.0,4129000.0,-2002000.0,19909000.0
Total Revenue,3121083000.0,3857626000.0,3477518000.0,3670851000.0
Total Operating Expenses,3190881000.0,3712419000.0,3438964000.0,3570286000.0
Cost Of Revenue,2238355000.0,2729566000.0,2474491000.0,2606261000.0
Total Other Income Expense Net,-4517000.0,-10650000.0,-22322000.0,-56838000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-78021000.0,130428000.0,18234000.0,23818000.0
Net Income Applicable To Common Shares,-78021000.0,130428000.0,18234000.0,23818000.0
