,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,43800000.0,42000000.0,37700000.0,38400000.0
Effect Of Accounting Charges,,,,
Income Before Tax,175300000.0,168700000.0,158200000.0,118300000.0
Minority Interest,34600000.0,33400000.0,33000000.0,30400000.0
Net Income,130600000.0,124800000.0,112400000.0,87900000.0
Selling General Administrative,255100000.0,250400000.0,221700000.0,232300000.0
Gross Profit,625300000.0,601100000.0,538200000.0,526500000.0
Ebit,253900000.0,236000000.0,209300000.0,185000000.0
Operating Income,253900000.0,236000000.0,209300000.0,185000000.0
Other Operating Expenses,,,,
Interest Expense,-42200000.0,-44900000.0,-47600000.0,-48600000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,43500000.0,43500000.0,43500000.0,31500000.0
Total Revenue,1906900000.0,2012300000.0,1830200000.0,2023700000.0
Total Operating Expenses,1653000000.0,1776300000.0,1620900000.0,1838700000.0
Cost Of Revenue,1281600000.0,1411200000.0,1292000000.0,1497200000.0
Total Other Income Expense Net,-78600000.0,-67300000.0,-51100000.0,-66700000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,131800000.0,125200000.0,114700000.0,86800000.0
Net Income Applicable To Common Shares,130400000.0,124500000.0,112400000.0,87700000.0
