,2021-10-01,2021-07-02,2021-04-02,2021-01-01
Intangible Assets,364000000.0,442000000.0,519000000.0,596000000.0
Capital Surplus,3401000000.0,3608000000.0,3603000000.0,3546000000.0
Total Liab,15030000000.0,15411000000.0,15460000000.0,15723000000.0
Total Stockholder Equity,11361000000.0,10721000000.0,9949000000.0,9829000000.0
Other Current Liab,222000000.0,240000000.0,276000000.0,182000000.0
Total Assets,26391000000.0,26132000000.0,25409000000.0,25552000000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0
Other Current Assets,576000000.0,514000000.0,710000000.0,744000000.0
Retained Earnings,8149000000.0,7539000000.0,6917000000.0,6720000000.0
Other Liab,1757000000.0,1863000000.0,2070000000.0,2099000000.0
Good Will,10066000000.0,10066000000.0,10066000000.0,10071000000.0
Treasury Stock,-192000000.0,-429000000.0,-574000000.0,-440000000.0
Other Assets,1903000000.0,1836000000.0,1876000000.0,1954000000.0
Cash,3290000000.0,3370000000.0,2734000000.0,2956000000.0
Total Current Liabilities,4709000000.0,4870000000.0,4501000000.0,4526000000.0
Short Long Term Debt,320000000.0,331000000.0,342000000.0,360000000.0
Other Stockholder Equity,-167000000.0,-197000000.0,-210000000.0,-50000000.0
Property Plant Equipment,3576000000.0,3410000000.0,3293000000.0,3157000000.0
Total Current Assets,9856000000.0,9757000000.0,9032000000.0,9109000000.0
Long Term Investments,626000000.0,621000000.0,623000000.0,665000000.0
Net Tangible Assets,931000000.0,213000000.0,-636000000.0,-838000000.0
Net Receivables,2446000000.0,2257000000.0,1905000000.0,1833000000.0
Long Term Debt,8270000000.0,8474000000.0,8678000000.0,8882000000.0
Inventory,3544000000.0,3616000000.0,3683000000.0,3576000000.0
Accounts Payable,2274000000.0,2332000000.0,2204000000.0,2332000000.0
